tab	samples
sample	site	height	geologic_classes	geologic_types	lithologies	analysts	azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	dip	citations	method_codes
D6A-1286	D6A-1286	1286					    0.0	    0.0	    0.0	  180.0	  -90.0	This study	SO-CMD-NORTH
D6A-1264	D6A-1264	1264					    0.0	    0.0	    0.0	  180.0	   -0.0	This study	SO-CMD-NORTH
D6A-1249	D6A-1249	1249					    0.0	    0.0	    0.0	  180.0	   -0.0	This study	SO-CMD-NORTH
D6A-1236	D6A-1236	1236					    0.0	    0.0	    0.0	  180.0	  -90.0	This study	SO-CMD-NORTH
D6A-1215	D6A-1215	1215					    0.0	    0.0	    0.0	  180.0	  -90.0	This study	SO-CMD-NORTH
D6A-1196	D6A-1196	1196					    0.0	    0.0	    0.0	  180.0	  -90.0	This study	SO-CMD-NORTH
D6A-1171	D6A-1171	1171					    0.0	    0.0	    0.0	  180.0	  -90.0	This study	SO-CMD-NORTH
D6A-1140	D6A-1140	1140					    0.0	    0.0	    0.0	  180.0	  -90.0	This study	SO-CMD-NORTH
D6A-1110	D6A-1110	1110					    0.0	    0.0	    0.0	  180.0	  -90.0	This study	SO-CMD-NORTH
D6A-1108	D6A-1108	1108					    0.0	    0.0	    0.0	  180.0	  -90.0	This study	SO-CMD-NORTH
D6A-1089	D6A-1089	1089					    0.0	    0.0	    0.0	  180.0	  -90.0	This study	SO-CMD-NORTH
D6A-1050	D6A-1050	1050					    0.0	    0.0	    0.0	  180.0	  -90.0	This study	SO-CMD-NORTH
D6A-1025	D6A-1025	1025					    0.0	    0.0	    0.0	  180.0	  -90.0	This study	SO-CMD-NORTH
D6A-1005	D6A-1005	1005					    0.0	    0.0	    0.0	  180.0	  -90.0	This study	SO-CMD-NORTH
D6A-953	D6A-953	953					    0.0	    0.0	    0.0	  180.0	  -90.0	This study	SO-CMD-NORTH
D6A-902	D6A-902	902					    0.0	    0.0	    0.0	  180.0	  -90.0	This study	SO-CMD-NORTH
D6A-852	D6A-852	852					    0.0	    0.0	    0.0	  180.0	  -90.0	This study	SO-CMD-NORTH
D6A-800	D6A-800	800					    0.0	    0.0	    0.0	  180.0	  -90.0	This study	SO-CMD-NORTH
D6A-775	D6A-775	775					    0.0	    0.0	    0.0	  180.0	  -90.0	This study	SO-CMD-NORTH
D6A-754	D6A-754	754					    0.0	    0.0	    0.0	  180.0	  -90.0	This study	SO-CMD-NORTH
D6A-713	D6A-713	713					    0.0	    0.0	    0.0	  180.0	  -90.0	This study	SO-CMD-NORTH
D6A-633	D6A-633	633					    0.0	    0.0	    0.0	  180.0	  -90.0	This study	SO-CMD-NORTH
D6A-594	D6A-594	594					    0.0	    0.0	    0.0	  180.0	  -90.0	This study	SO-CMD-NORTH
D6A-555	D6A-555	555					    0.0	    0.0	    0.0	  180.0	  -90.0	This study	SO-CMD-NORTH
D6A-515	D6A-515	515					    0.0	    0.0	    0.0	  180.0	  -90.0	This study	SO-CMD-NORTH
D6A-478	D6A-478	478					    0.0	    0.0	    0.0	  180.0	  -90.0	This study	SO-CMD-NORTH
D6A-459	D6A-459	459					    0.0	    0.0	    0.0	  180.0	  -90.0	This study	SO-CMD-NORTH
D6A-323	D6A-323	323					    0.0	    0.0	    0.0	  180.0	  -90.0	This study	SO-CMD-NORTH
D6A-285	D6A-285	285					    0.0	    0.0	    0.0	  180.0	  -90.0	This study	SO-CMD-NORTH
D6A-238	D6A-238	238					    0.0	    0.0	    0.0	  180.0	  -90.0	This study	SO-CMD-NORTH
D6A-202	D6A-202	202					    0.0	    0.0	    0.0	  180.0	  -90.0	This study	SO-CMD-NORTH
D6A-163	D6A-163	163					    0.0	    0.0	    0.0	  180.0	  -90.0	This study	SO-CMD-NORTH
