tab	sites
site	location	lat	lon	analysts	citations
D6A-1286	D6A-AGT	47.7	268.2		This study
D6A-1264	D6A-AGT	47.7	268.2		This study
D6A-1249	D6A-AGT	47.7	268.2		This study
D6A-1236	D6A-AGT	47.7	268.2		This study
D6A-1215	D6A-AGT	47.7	268.2		This study
D6A-1196	D6A-AGT	47.7	268.2		This study
D6A-1171	D6A-AGT	47.7	268.2		This study
D6A-1140	D6A-AGT	47.7	268.2		This study
D6A-1110	D6A-AGT	47.7	268.2		This study
D6A-1108	D6A-AGT	47.7	268.2		This study
D6A-1089	D6A-AGT	47.7	268.2		This study
D6A-1050	D6A-AGT	47.7	268.2		This study
D6A-1025	D6A-AGT	47.7	268.2		This study
D6A-1005	D6A-AGT	47.7	268.2		This study
D6A-953	D6A-AGT	47.7	268.2		This study
D6A-902	D6A-AGT	47.7	268.2		This study
D6A-852	D6A-AGT	47.7	268.2		This study
D6A-800	D6A-AGT	47.7	268.2		This study
D6A-775	D6A-AGT	47.7	268.2		This study
D6A-754	D6A-AGT	47.7	268.2		This study
D6A-713	D6A-AGT	47.7	268.2		This study
D6A-633	D6A-AGT	47.7	268.2		This study
D6A-594	D6A-AGT	47.7	268.2		This study
D6A-555	D6A-AGT	47.7	268.2		This study
D6A-515	D6A-AGT	47.7	268.2		This study
D6A-478	D6A-AGT	47.7	268.2		This study
D6A-459	D6A-AGT	47.7	268.2		This study
D6A-323	D6A-AGT	47.7	268.2		This study
D6A-285	D6A-AGT	47.7	268.2		This study
D6A-238	D6A-AGT	47.7	268.2		This study
D6A-202	D6A-AGT	47.7	268.2		This study
D6A-163	D6A-AGT	47.7	268.2		This study
