tab 	specimens
analysts	citations	sample	specimen	volume	weight
	This study	D6A-1286	D6A-1286a	1.100e-05	3.099e-02
	This study	D6A-1264	D6A-1264a	1.100e-05	1.916e-02
	This study	D6A-1249	D6A-1249a	1.100e-05	2.543e-02
	This study	D6A-1236	D6A-1236a	1.100e-05	2.778e-02
	This study	D6A-1215	D6A-1215a	1.100e-05	3.185e-02
	This study	D6A-1196	D6A-1196a	1.100e-05	3.231e-02
	This study	D6A-1171	D6A-1171a	1.100e-05	3.161e-02
	This study	D6A-1140	D6A-1140a	1.100e-05	3.198e-02
	This study	D6A-1110	D6A-1110a	1.100e-05	3.142e-02
	This study	D6A-1108	D6A-1108a	1.100e-05	3.082e-02
	This study	D6A-1089	D6A-1089a	1.100e-05	3.226e-02
	This study	D6A-1050	D6A-1050a	1.100e-05	3.219e-02
	This study	D6A-1025	D6A-1025a	1.100e-05	2.987e-02
	This study	D6A-1005	D6A-1005a	1.100e-05	2.982e-02
	This study	D6A-953	D6A-953a	1.100e-05	3.003e-02
	This study	D6A-902	D6A-902a	1.100e-05	3.107e-02
	This study	D6A-852	D6A-852a	1.100e-05	3.247e-02
	This study	D6A-800	D6A-800a	1.100e-05	3.017e-02
	This study	D6A-775	D6A-775a	1.100e-05	3.067e-02
	This study	D6A-754	D6A-754a	1.100e-05	3.111e-02
	This study	D6A-713	D6A-713a	1.100e-05	3.136e-02
	This study	D6A-633	D6A-633a	1.100e-05	3.056e-02
	This study	D6A-594	D6A-594a	1.100e-05	3.052e-02
	This study	D6A-555	D6A-555a	1.100e-05	3.039e-02
	This study	D6A-515	D6A-515a	1.100e-05	3.056e-02
	This study	D6A-478	D6A-478a	1.100e-05	3.048e-02
	This study	D6A-459	D6A-459a	1.100e-05	2.917e-02
	This study	D6A-323	D6A-323a	1.100e-05	3.059e-02
	This study	D6A-285	D6A-285a	1.100e-05	3.122e-02
	This study	D6A-238	D6A-238a	1.100e-05	3.082e-02
	This study	D6A-202	D6A-202a	1.100e-05	3.445e-02
	This study	D6A-163	D6A-163a	1.100e-05	3.053e-02
