tab 	measurements
analysts	citations	description	dir_csd	dir_dec	dir_inc	experiment	instrument_codes	magn_mass	magn_moment	magn_volume	magn_x_sigma	magn_y_sigma	magn_z_sigma	meas_n_orient	meas_temp	measurement	method_codes	quality	sequence	software_packages	specimen	standard	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp
	This study		1.1	216.3	73.7	D6A-1727a_LP-DIR-AF	hargrave 2026-07-21 06:50:12	4.096e-04	8.65e-06	7.864e-01	1.04e-07	1.34e-07	6.02e-08	8	273	D6A-1727a_LP-DIR-AF-1	LT-NO:LP-DIR-AF	g	0	pmagpy-4.4.0	D6A-1727a	u	0	0	0.00	0.00	0	273
	This study		1.1	215.9	73.4	D6A-1727a_LP-DIR-AF	hargrave 2026-07-21 06:53:39	4.058e-04	8.57e-06	7.791e-01	1.02e-07	1.32e-07	5.97e-08	8	273	D6A-1727a_LP-DIR-AF-2	LT-AF-Z:LP-DIR-AF	g	1	pmagpy-4.4.0	D6A-1727a	u	1.000e-03	0	0.00	0.00	1	273
	This study		1.1	215.8	72.8	D6A-1727a_LP-DIR-AF	hargrave 2026-07-21 06:57:06	3.925e-04	8.29e-06	7.536e-01	9.95e-08	1.28e-07	5.89e-08	8	273	D6A-1727a_LP-DIR-AF-3	LT-AF-Z:LP-DIR-AF	g	2	pmagpy-4.4.0	D6A-1727a	u	2.000e-03	0	0.00	0.00	2	273
	This study		1.1	215.7	72.3	D6A-1727a_LP-DIR-AF	hargrave 2026-07-21 07:00:33	3.726e-04	7.87e-06	7.155e-01	9.45e-08	1.22e-07	5.63e-08	8	273	D6A-1727a_LP-DIR-AF-4	LT-AF-Z:LP-DIR-AF	g	3	pmagpy-4.4.0	D6A-1727a	u	3.000e-03	0	0.00	0.00	3	273
	This study		1.1	216.0	71.9	D6A-1727a_LP-DIR-AF	hargrave 2026-07-21 07:04:00	3.527e-04	7.45e-06	6.773e-01	8.89e-08	1.15e-07	5.02e-08	8	273	D6A-1727a_LP-DIR-AF-5	LT-AF-Z:LP-DIR-AF	g	4	pmagpy-4.4.0	D6A-1727a	u	4.000e-03	0	0.00	0.00	4	273
	This study		1.1	216.2	71.3	D6A-1727a_LP-DIR-AF	hargrave 2026-07-21 07:07:27	3.305e-04	6.98e-06	6.345e-01	8.27e-08	1.07e-07	5.02e-08	8	273	D6A-1727a_LP-DIR-AF-6	LT-AF-Z:LP-DIR-AF	g	5	pmagpy-4.4.0	D6A-1727a	u	5.000e-03	0	0.00	0.00	5	273
	This study		1.0	215.6	69.2	D6A-1727a_LP-DIR-AF	hargrave 2026-07-21 07:10:53	2.737e-04	5.78e-06	5.255e-01	6.74e-08	8.68e-08	4.09e-08	8	273	D6A-1727a_LP-DIR-AF-7	LT-AF-Z:LP-DIR-AF	g	6	pmagpy-4.4.0	D6A-1727a	u	7.500e-03	0	0.00	0.00	6	273
	This study		1.1	214.6	66.9	D6A-1727a_LP-DIR-AF	hargrave 2026-07-21 07:14:20	2.306e-04	4.87e-06	4.427e-01	5.73e-08	7.28e-08	3.47e-08	8	273	D6A-1727a_LP-DIR-AF-8	LT-AF-Z:LP-DIR-AF	g	7	pmagpy-4.4.0	D6A-1727a	u	1.000e-02	0	0.00	0.00	7	273
	This study		1.1	213.7	64.6	D6A-1727a_LP-DIR-AF	hargrave 2026-07-21 07:17:47	2.008e-04	4.24e-06	3.855e-01	5.02e-08	6.38e-08	3.06e-08	8	273	D6A-1727a_LP-DIR-AF-9	LT-AF-Z:LP-DIR-AF	g	8	pmagpy-4.4.0	D6A-1727a	u	1.250e-02	0	0.00	0.00	8	273
	This study		1.1	213.1	62.7	D6A-1727a_LP-DIR-AF	hargrave 2026-07-21 07:21:14	1.780e-04	3.76e-06	3.418e-01	4.52e-08	5.71e-08	2.79e-08	8	273	D6A-1727a_LP-DIR-AF-10	LT-AF-Z:LP-DIR-AF	g	9	pmagpy-4.4.0	D6A-1727a	u	1.500e-02	0	0.00	0.00	9	273
