tab	samples
sample	site	height	geologic_classes	geologic_types	lithologies	analysts	azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	dip	citations	method_codes
D6A-2022	D6A-2022	2022					    0.0	    0.0	    0.0	  180.0	   -0.0	This study	SO-CMD-NORTH
D6A-2009	D6A-2009	2009					    0.0	    0.0	    0.0	  180.0	   -0.0	This study	SO-CMD-NORTH
D6A-2001	D6A-2001	2001					    0.0	    0.0	    0.0	  180.0	   -0.0	This study	SO-CMD-NORTH
D6A-1989	D6A-1989	1989					    0.0	    0.0	    0.0	  180.0	   -0.0	This study	SO-CMD-NORTH
D6A-1926	D6A-1926	1926					    0.0	    0.0	    0.0	  180.0	   -0.0	This study	SO-CMD-NORTH
D6A-1913	D6A-1913	1913					    0.0	    0.0	    0.0	  180.0	   -0.0	This study	SO-CMD-NORTH
D6A-1806	D6A-1806	1806					    0.0	    0.0	    0.0	  180.0	   -0.0	This study	SO-CMD-NORTH
D6A-1789	D6A-1789	1789					    0.0	    0.0	    0.0	  180.0	   -0.0	This study	SO-CMD-NORTH
D6A-1779	D6A-1779	1779					    0.0	    0.0	    0.0	  180.0	   -0.0	This study	SO-CMD-NORTH
D6A-1762	D6A-1762	1762					    0.0	    0.0	    0.0	  180.0	   -0.0	This study	SO-CMD-NORTH
D6A-1727	D6A-1727	1727					    0.0	    0.0	    0.0	  180.0	   -0.0	This study	SO-CMD-NORTH
