tab 	specimens
analysts	citations	sample	specimen	volume	weight
	This study	D6A-2022	D6A-2022a	1.100e-05	2.200e-02
	This study	D6A-2009	D6A-2009a	1.100e-05	2.308e-02
	This study	D6A-2001	D6A-2001a	1.100e-05	2.415e-02
	This study	D6A-1989	D6A-1989a	1.100e-05	1.910e-02
	This study	D6A-1926	D6A-1926a	1.100e-05	2.215e-02
	This study	D6A-1913	D6A-1913a	1.100e-05	2.598e-02
	This study	D6A-1806	D6A-1806a	1.100e-05	2.401e-02
	This study	D6A-1789	D6A-1789a	1.100e-05	2.796e-02
	This study	D6A-1779	D6A-1779a	1.100e-05	2.630e-02
	This study	D6A-1762	D6A-1762a	1.100e-05	2.509e-02
	This study	D6A-1727	D6A-1727a	1.100e-05	2.112e-02
