tab 	measurements
analysts	citations	description	dir_csd	dir_dec	dir_inc	experiment	instrument_codes	magn_mass	magn_moment	magn_volume	magn_x_sigma	magn_y_sigma	magn_z_sigma	meas_n_orient	meas_temp	measurement	method_codes	quality	sequence	software_packages	specimen	standard	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp
	This study		1.2	095.4	-70.2	D6A-1464a_LP-DIR-AF	hargrave 2026-07-24 15:22:26	4.972e-05	1.49e-06	1.355e-01	2.34e-08	2.31e-08	9.17e-09	8	273	D6A-1464a_LP-DIR-AF-1	LT-NO:LP-DIR-AF	g	0	pmagpy-4.4.0	D6A-1464a	u	0	0	0.00	0.00	0	273
	This study		1.2	098.7	-70.8	D6A-1464a_LP-DIR-AF	hargrave 2026-07-24 15:24:03	4.805e-05	1.44e-06	1.309e-01	2.23e-08	2.17e-08	9.31e-09	8	273	D6A-1464a_LP-DIR-AF-2	LT-AF-Z:LP-DIR-AF	g	1	pmagpy-4.4.0	D6A-1464a	u	1.000e-03	0	0.00	0.00	1	273
	This study		1.3	101.6	-71.7	D6A-1464a_LP-DIR-AF	hargrave 2026-07-24 15:25:37	4.271e-05	1.28e-06	1.164e-01	2.03e-08	1.95e-08	9.43e-09	8	273	D6A-1464a_LP-DIR-AF-3	LT-AF-Z:LP-DIR-AF	g	2	pmagpy-4.4.0	D6A-1464a	u	2.000e-03	0	0.00	0.00	2	273
	This study		1.3	105.0	-73.0	D6A-1464a_LP-DIR-AF	hargrave 2026-07-24 15:27:12	3.504e-05	1.05e-06	9.545e-02	1.73e-08	1.60e-08	8.89e-09	8	273	D6A-1464a_LP-DIR-AF-4	LT-AF-Z:LP-DIR-AF	g	3	pmagpy-4.4.0	D6A-1464a	u	3.000e-03	0	0.00	0.00	3	273
	This study		1.3	117.9	-73.9	D6A-1464a_LP-DIR-AF	hargrave 2026-07-24 15:28:46	2.703e-05	8.10e-07	7.364e-02	1.31e-08	1.12e-08	7.40e-09	8	273	D6A-1464a_LP-DIR-AF-5	LT-AF-Z:LP-DIR-AF	g	4	pmagpy-4.4.0	D6A-1464a	u	4.000e-03	0	0.00	0.00	4	273
	This study		1.3	130.0	-73.2	D6A-1464a_LP-DIR-AF	hargrave 2026-07-24 15:30:21	2.042e-05	6.12e-07	5.564e-02	1.08e-08	8.30e-09	6.49e-09	8	273	D6A-1464a_LP-DIR-AF-6	LT-AF-Z:LP-DIR-AF	g	5	pmagpy-4.4.0	D6A-1464a	u	5.000e-03	0	0.00	0.00	5	273
	This study		1.8	165.8	-56.9	D6A-1464a_LP-DIR-AF	hargrave 2026-07-24 15:31:56	7.574e-06	2.27e-07	2.064e-02	7.03e-09	2.54e-09	4.34e-09	8	273	D6A-1464a_LP-DIR-AF-7	LT-AF-Z:LP-DIR-AF	g	6	pmagpy-4.4.0	D6A-1464a	u	7.500e-03	0	0.00	0.00	6	273
	This study		2.1	180.9	06.6	D6A-1464a_LP-DIR-AF	hargrave 2026-07-24 15:33:30	3.904e-06	1.17e-07	1.064e-02	5.40e-09	1.35e-09	3.69e-09	8	273	D6A-1464a_LP-DIR-AF-8	LT-AF-Z:LP-DIR-AF	g	7	pmagpy-4.4.0	D6A-1464a	u	1.000e-02	0	0.00	0.00	7	273
	This study		1.8	194.5	39.6	D6A-1464a_LP-DIR-AF	hargrave 2026-07-24 15:35:05	5.939e-06	1.78e-07	1.618e-02	4.88e-09	2.40e-09	3.59e-09	8	273	D6A-1464a_LP-DIR-AF-9	LT-AF-Z:LP-DIR-AF	g	8	pmagpy-4.4.0	D6A-1464a	u	1.250e-02	0	0.00	0.00	8	273
	This study		1.5	191.5	51.5	D6A-1464a_LP-DIR-AF	hargrave 2026-07-24 15:36:39	7.508e-06	2.25e-07	2.045e-02	4.50e-09	3.35e-09	4.01e-09	8	273	D6A-1464a_LP-DIR-AF-10	LT-AF-Z:LP-DIR-AF	g	9	pmagpy-4.4.0	D6A-1464a	u	1.500e-02	0	0.00	0.00	9	273
