tab	samples
sample	site	height	geologic_classes	geologic_types	lithologies	analysts	azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	dip	citations	method_codes
D6A-1699	D6A-1699	1699					    0.0	    0.0	    0.0	  180.0	   -0.0	This study	SO-CMD-NORTH
D6A-1592	D6A-1592	1592					    0.0	    0.0	    0.0	  180.0	   -0.0	This study	SO-CMD-NORTH
D6A-1581	D6A-1581	1581					    0.0	    0.0	    0.0	  180.0	   -0.0	This study	SO-CMD-NORTH
D6A-1566	D6A-1566	1566					    0.0	    0.0	    0.0	  180.0	   -0.0	This study	SO-CMD-NORTH
D6A-1561	D6A-1561	1561					    0.0	    0.0	    0.0	  180.0	   -0.0	This study	SO-CMD-NORTH
D6A-1551	D6A-1551	1551					    0.0	    0.0	    0.0	  180.0	   -0.0	This study	SO-CMD-NORTH
D6A-1528	D6A-1528	1528					    0.0	    0.0	    0.0	  180.0	   -0.0	This study	SO-CMD-NORTH
D6A-1509	D6A-1509	1509					    0.0	    0.0	    0.0	  180.0	   -0.0	This study	SO-CMD-NORTH
D6A-1504	D6A-1504	1504					    0.0	    0.0	    0.0	  180.0	   -0.0	This study	SO-CMD-NORTH
D6A-1500	D6A-1500	1500					    0.0	    0.0	    0.0	  180.0	   -0.0	This study	SO-CMD-NORTH
D6A-1465	D6A-1465	1465.5					    0.0	    0.0	    0.0	  180.0	   -0.0	This study	SO-CMD-NORTH
D6A-1464	D6A-1464	1464					    0.0	    0.0	    0.0	  180.0	   -0.0	This study	SO-CMD-NORTH
