tab 	specimens
analysts	citations	sample	specimen	volume	weight
	This study	D6A-1699	D6A-1699a	1.100e-05	2.529e-02
	This study	D6A-1592	D6A-1592a	1.100e-05	2.485e-02
	This study	D6A-1581	D6A-1581a	1.100e-05	2.105e-02
	This study	D6A-1566	D6A-1566a	1.100e-05	2.856e-02
	This study	D6A-1561	D6A-1561a	1.100e-05	2.634e-02
	This study	D6A-1551	D6A-1551a	1.100e-05	3.252e-02
	This study	D6A-1528	D6A-1528a	1.100e-05	2.748e-02
	This study	D6A-1509	D6A-1509a	1.100e-05	2.486e-02
	This study	D6A-1504	D6A-1504a	1.100e-05	2.806e-02
	This study	D6A-1500	D6A-1500a	1.100e-05	2.783e-02
	This study	D6A-1465	D6A-1465a	1.100e-05	2.644e-02
	This study	D6A-1464	D6A-1464a	1.100e-05	2.997e-02
