tab 	measurements
analysts	citations	description	dir_csd	dir_dec	dir_inc	experiment	instrument_codes	magn_mass	magn_moment	magn_volume	magn_x_sigma	magn_y_sigma	magn_z_sigma	meas_n_orient	meas_temp	measurement	method_codes	quality	sequence	software_packages	specimen	standard	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp
	This study		0.4	155.1	-18.6	D6A-1005a_LP-DIR-AF	hargrave 2026-07-22 19:48:40	1.150e-03	3.43e-05	3.118e+00	2.46e-07	1.24e-07	1.67e-07	8	273	D6A-1005a_LP-DIR-AF-1	LT-NO:LP-DIR-AF	g	0	pmagpy-4.4.0	D6A-1005a	u	0	0	0.00	0.00	0	273
	This study		0.4	152.3	-19.1	D6A-1005a_LP-DIR-AF	hargrave 2026-07-22 19:50:16	1.100e-03	3.28e-05	2.982e+00	2.17e-07	1.02e-07	1.65e-07	8	273	D6A-1005a_LP-DIR-AF-2	LT-AF-Z:LP-DIR-AF	g	1	pmagpy-4.4.0	D6A-1005a	u	1.000e-03	0	0.00	0.00	1	273
	This study		0.4	144.6	-23.0	D6A-1005a_LP-DIR-AF	hargrave 2026-07-22 19:51:51	9.759e-04	2.91e-05	2.645e+00	1.85e-07	8.28e-08	1.49e-07	8	273	D6A-1005a_LP-DIR-AF-3	LT-AF-Z:LP-DIR-AF	g	2	pmagpy-4.4.0	D6A-1005a	u	2.000e-03	0	0.00	0.00	2	273
	This study		0.4	135.0	-27.5	D6A-1005a_LP-DIR-AF	hargrave 2026-07-22 19:53:27	8.652e-04	2.58e-05	2.345e+00	1.44e-07	7.52e-08	1.30e-07	8	273	D6A-1005a_LP-DIR-AF-4	LT-AF-Z:LP-DIR-AF	g	3	pmagpy-4.4.0	D6A-1005a	u	3.000e-03	0	0.00	0.00	3	273
	This study		0.4	125.6	-31.0	D6A-1005a_LP-DIR-AF	hargrave 2026-07-22 19:55:02	7.981e-04	2.38e-05	2.164e+00	1.26e-07	7.77e-08	1.17e-07	8	273	D6A-1005a_LP-DIR-AF-5	LT-AF-Z:LP-DIR-AF	g	4	pmagpy-4.4.0	D6A-1005a	u	4.000e-03	0	0.00	0.00	4	273
	This study		0.4	121.0	-32.2	D6A-1005a_LP-DIR-AF	hargrave 2026-07-22 19:56:37	7.612e-04	2.27e-05	2.064e+00	1.12e-07	7.85e-08	1.09e-07	8	273	D6A-1005a_LP-DIR-AF-6	LT-AF-Z:LP-DIR-AF	g	5	pmagpy-4.4.0	D6A-1005a	u	5.000e-03	0	0.00	0.00	5	273
	This study		0.4	115.2	-33.2	D6A-1005a_LP-DIR-AF	hargrave 2026-07-22 19:58:13	6.740e-04	2.01e-05	1.827e+00	9.16e-08	7.79e-08	9.56e-08	8	273	D6A-1005a_LP-DIR-AF-7	LT-AF-Z:LP-DIR-AF	g	6	pmagpy-4.4.0	D6A-1005a	u	7.500e-03	0	0.00	0.00	6	273
	This study		0.4	113.5	-33.5	D6A-1005a_LP-DIR-AF	hargrave 2026-07-22 19:59:47	5.902e-04	1.76e-05	1.600e+00	7.47e-08	7.35e-08	8.43e-08	8	273	D6A-1005a_LP-DIR-AF-8	LT-AF-Z:LP-DIR-AF	g	7	pmagpy-4.4.0	D6A-1005a	u	1.000e-02	0	0.00	0.00	7	273
	This study		0.4	113.2	-33.7	D6A-1005a_LP-DIR-AF	hargrave 2026-07-22 20:01:22	5.131e-04	1.53e-05	1.391e+00	6.18e-08	6.63e-08	7.36e-08	8	273	D6A-1005a_LP-DIR-AF-9	LT-AF-Z:LP-DIR-AF	g	8	pmagpy-4.4.0	D6A-1005a	u	1.250e-02	0	0.00	0.00	8	273
	This study		0.4	113.0	-34.0	D6A-1005a_LP-DIR-AF	hargrave 2026-07-22 20:02:58	4.527e-04	1.35e-05	1.227e+00	5.35e-08	6.03e-08	6.25e-08	8	273	D6A-1005a_LP-DIR-AF-10	LT-AF-Z:LP-DIR-AF	g	9	pmagpy-4.4.0	D6A-1005a	u	1.500e-02	0	0.00	0.00	9	273
	This study		0.4	113.4	-34.4	D6A-1005a_LP-DIR-AF	hargrave 2026-07-22 20:04:32	3.991e-04	1.19e-05	1.082e+00	4.70e-08	5.63e-08	5.24e-08	8	273	D6A-1005a_LP-DIR-AF-11	LT-AF-Z:LP-DIR-AF	g	10	pmagpy-4.4.0	D6A-1005a	u	1.750e-02	0	0.00	0.00	10	273
	This study		0.4	112.8	-34.4	D6A-1005a_LP-DIR-AF	hargrave 2026-07-22 20:06:07	3.622e-04	1.08e-05	9.818e-01	4.28e-08	5.21e-08	4.41e-08	8	273	D6A-1005a_LP-DIR-AF-12	LT-AF-Z:LP-DIR-AF	g	11	pmagpy-4.4.0	D6A-1005a	u	2.000e-02	0	0.00	0.00	11	273
	This study		0.4	112.4	-34.2	D6A-1005a_LP-DIR-AF	hargrave 2026-07-22 20:07:42	3.317e-04	9.89e-06	8.991e-01	3.80e-08	4.76e-08	3.72e-08	8	273	D6A-1005a_LP-DIR-AF-13	LT-AF-Z:LP-DIR-AF	g	12	pmagpy-4.4.0	D6A-1005a	u	2.250e-02	0	0.00	0.00	12	273
