tab 	samples
analysts	azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	citations	dip	geologic_classes	geologic_types	height	lithologies	method_codes	sample	site
	0.0	0.0	0.0	180.0	This study	-90.0			1286		SO-CMD-NORTH	D6A-1286	D6A-1286
	0.0	0.0	0.0	180.0	This study	-0.0			1264		SO-CMD-NORTH	D6A-1264	D6A-1264
	0.0	0.0	0.0	180.0	This study	-0.0			1249		SO-CMD-NORTH	D6A-1249	D6A-1249
	0.0	0.0	0.0	180.0	This study	-90.0			1236		SO-CMD-NORTH	D6A-1236	D6A-1236
	0.0	0.0	0.0	180.0	This study	-90.0			1215		SO-CMD-NORTH	D6A-1215	D6A-1215
	0.0	0.0	0.0	180.0	This study	-90.0			1196		SO-CMD-NORTH	D6A-1196	D6A-1196
	0.0	0.0	0.0	180.0	This study	-90.0			1171		SO-CMD-NORTH	D6A-1171	D6A-1171
	0.0	0.0	0.0	180.0	This study	-90.0			1140		SO-CMD-NORTH	D6A-1140	D6A-1140
	0.0	0.0	0.0	180.0	This study	-90.0			1110		SO-CMD-NORTH	D6A-1110	D6A-1110
	0.0	0.0	0.0	180.0	This study	-90.0			1108		SO-CMD-NORTH	D6A-1108	D6A-1108
	0.0	0.0	0.0	180.0	This study	-90.0			1089		SO-CMD-NORTH	D6A-1089	D6A-1089
	0.0	0.0	0.0	180.0	This study	-90.0			1050		SO-CMD-NORTH	D6A-1050	D6A-1050
	0.0	0.0	0.0	180.0	This study	-90.0			1025		SO-CMD-NORTH	D6A-1025	D6A-1025
	0.0	0.0	0.0	180.0	This study	-90.0			1005		SO-CMD-NORTH	D6A-1005	D6A-1005
	0.0	0.0	0.0	180.0	This study	-90.0			953		SO-CMD-NORTH	D6A-953	D6A-953
	0.0	0.0	0.0	180.0	This study	-90.0			902		SO-CMD-NORTH	D6A-902	D6A-902
	0.0	0.0	0.0	180.0	This study	-90.0			852		SO-CMD-NORTH	D6A-852	D6A-852
	0.0	0.0	0.0	180.0	This study	-90.0			800		SO-CMD-NORTH	D6A-800	D6A-800
	0.0	0.0	0.0	180.0	This study	-90.0			775		SO-CMD-NORTH	D6A-775	D6A-775
	0.0	0.0	0.0	180.0	This study	-90.0			754		SO-CMD-NORTH	D6A-754	D6A-754
	0.0	0.0	0.0	180.0	This study	-90.0			713		SO-CMD-NORTH	D6A-713	D6A-713
	0.0	0.0	0.0	180.0	This study	-90.0			633		SO-CMD-NORTH	D6A-633	D6A-633
	0.0	0.0	0.0	180.0	This study	-90.0			594		SO-CMD-NORTH	D6A-594	D6A-594
	0.0	0.0	0.0	180.0	This study	-90.0			555		SO-CMD-NORTH	D6A-555	D6A-555
	0.0	0.0	0.0	180.0	This study	-90.0			515		SO-CMD-NORTH	D6A-515	D6A-515
	0.0	0.0	0.0	180.0	This study	-90.0			478		SO-CMD-NORTH	D6A-478	D6A-478
	0.0	0.0	0.0	180.0	This study	-90.0			459		SO-CMD-NORTH	D6A-459	D6A-459
	0.0	0.0	0.0	180.0	This study	-90.0			323		SO-CMD-NORTH	D6A-323	D6A-323
	0.0	0.0	0.0	180.0	This study	-90.0			285		SO-CMD-NORTH	D6A-285	D6A-285
	0.0	0.0	0.0	180.0	This study	-90.0			238		SO-CMD-NORTH	D6A-238	D6A-238
	0.0	0.0	0.0	180.0	This study	-90.0			202		SO-CMD-NORTH	D6A-202	D6A-202
	0.0	0.0	0.0	180.0	This study	-90.0			163		SO-CMD-NORTH	D6A-163	D6A-163
	0.0	0.0	0.0	180.0	This study	-0.0			2022		SO-CMD-NORTH	D6A-2022	D6A-2022
	0.0	0.0	0.0	180.0	This study	-0.0			2009		SO-CMD-NORTH	D6A-2009	D6A-2009
	0.0	0.0	0.0	180.0	This study	-0.0			2001		SO-CMD-NORTH	D6A-2001	D6A-2001
	0.0	0.0	0.0	180.0	This study	-0.0			1989		SO-CMD-NORTH	D6A-1989	D6A-1989
	0.0	0.0	0.0	180.0	This study	-0.0			1926		SO-CMD-NORTH	D6A-1926	D6A-1926
	0.0	0.0	0.0	180.0	This study	-0.0			1913		SO-CMD-NORTH	D6A-1913	D6A-1913
	0.0	0.0	0.0	180.0	This study	-0.0			1806		SO-CMD-NORTH	D6A-1806	D6A-1806
	0.0	0.0	0.0	180.0	This study	-0.0			1789		SO-CMD-NORTH	D6A-1789	D6A-1789
	0.0	0.0	0.0	180.0	This study	-0.0			1779		SO-CMD-NORTH	D6A-1779	D6A-1779
	0.0	0.0	0.0	180.0	This study	-0.0			1762		SO-CMD-NORTH	D6A-1762	D6A-1762
	0.0	0.0	0.0	180.0	This study	-0.0			1727		SO-CMD-NORTH	D6A-1727	D6A-1727
	0.0	0.0	0.0	180.0	This study	-0.0			1699		SO-CMD-NORTH	D6A-1699	D6A-1699
	0.0	0.0	0.0	180.0	This study	-0.0			1592		SO-CMD-NORTH	D6A-1592	D6A-1592
	0.0	0.0	0.0	180.0	This study	-0.0			1581		SO-CMD-NORTH	D6A-1581	D6A-1581
	0.0	0.0	0.0	180.0	This study	-0.0			1566		SO-CMD-NORTH	D6A-1566	D6A-1566
	0.0	0.0	0.0	180.0	This study	-0.0			1561		SO-CMD-NORTH	D6A-1561	D6A-1561
	0.0	0.0	0.0	180.0	This study	-0.0			1551		SO-CMD-NORTH	D6A-1551	D6A-1551
	0.0	0.0	0.0	180.0	This study	-0.0			1528		SO-CMD-NORTH	D6A-1528	D6A-1528
	0.0	0.0	0.0	180.0	This study	-0.0			1509		SO-CMD-NORTH	D6A-1509	D6A-1509
	0.0	0.0	0.0	180.0	This study	-0.0			1504		SO-CMD-NORTH	D6A-1504	D6A-1504
	0.0	0.0	0.0	180.0	This study	-0.0			1500		SO-CMD-NORTH	D6A-1500	D6A-1500
	0.0	0.0	0.0	180.0	This study	-0.0			1465.5		SO-CMD-NORTH	D6A-1465	D6A-1465
	0.0	0.0	0.0	180.0	This study	-0.0			1464		SO-CMD-NORTH	D6A-1464	D6A-1464
	0.0	0.0	0.0	180.0	This study	-90.0			2123		SO-CMD-NORTH	D6A-2123	D6A-2123
	0.0	0.0	0.0	180.0	This study	-90.0			2105		SO-CMD-NORTH	D6A-2105	D6A-2105
	0.0	0.0	0.0	180.0	This study	-90.0			2095		SO-CMD-NORTH	D6A-2095	D6A-2095
	0.0	0.0	0.0	180.0	This study	-90.0			2076		SO-CMD-NORTH	D6A-2076	D6A-2076
	0.0	0.0	0.0	180.0	This study	-90.0			2046		SO-CMD-NORTH	D6A-2046	D6A-2046
	0.0	0.0	0.0	180.0	This study	-0.0			2031		SO-CMD-NORTH	D6A-2031	D6A-2031
	0.0	0.0	0.0	180.0	This study	-90.0			653		SO-CMD-NORTH	D6A-653	D6A-653
	0.0	0.0	0.0	180.0	This study	-90.0			420		SO-CMD-NORTH	D6A-420	D6A-420
	0.0	0.0	0.0	180.0	This study	-90.0			441		SO-CMD-NORTH	D6A-441	D6A-441
	0.0	0.0	0.0	180.0	This study	-90.0			397		SO-CMD-NORTH	D6A-397	D6A-397
	0.0	0.0	0.0	180.0	This study	-0.0			1899		SO-CMD-NORTH	D6A-1899	D6A-1899
	0.0	0.0	0.0	180.0	This study	-0.0			1888		SO-CMD-NORTH	D6A-1888	D6A-1888
	0.0	0.0	0.0	180.0	This study	-0.0			1880		SO-CMD-NORTH	D6A-1880	D6A-1880
	0.0	0.0	0.0	180.0	This study	-0.0			1868		SO-CMD-NORTH	D6A-1868	D6A-1868
	0.0	0.0	0.0	180.0	This study	-0.0			1861		SO-CMD-NORTH	D6A-1861	D6A-1861
	0.0	0.0	0.0	180.0	This study	-0.0			1857		SO-CMD-NORTH	D6A-1857	D6A-1857
	0.0	0.0	0.0	180.0	This study	-0.0			1849		SO-CMD-NORTH	D6A-1849	D6A-1849
	0.0	0.0	0.0	180.0	This study	-0.0			1845		SO-CMD-NORTH	D6A-1845	D6A-1845
	0.0	0.0	0.0	180.0	This study	-0.0			1833		SO-CMD-NORTH	D6A-1833	D6A-1833
	0.0	0.0	0.0	180.0	This study	-0.0			1822		SO-CMD-NORTH	D6A-1822	D6A-1822
	0.0	0.0	0.0	180.0	This study	-0.0			1605		SO-CMD-NORTH	D6A-1605	D6A-1605
	0.0	0.0	0.0	180.0	This study	-0.0			1462.8		SO-CMD-NORTH	D6A-1463	D6A-1463
	0.0	0.0	0.0	180.0	This study	-0.0			1461		SO-CMD-NORTH	D6A-1461	D6A-1461
	0.0	0.0	0.0	180.0	This study	-0.0			1446		SO-CMD-NORTH	D6A-1446	D6A-1446
	0.0	0.0	0.0	180.0	This study	-0.0			1342		SO-CMD-NORTH	D6A-1342	D6A-1342
