tab 	sites
analysts	citations	lat	location	lon	site
	This study	47.7	D6A-AGT	268.2	D6A-1286
	This study	47.7	D6A-AGT	268.2	D6A-1264
	This study	47.7	D6A-AGT	268.2	D6A-1249
	This study	47.7	D6A-AGT	268.2	D6A-1236
	This study	47.7	D6A-AGT	268.2	D6A-1215
	This study	47.7	D6A-AGT	268.2	D6A-1196
	This study	47.7	D6A-AGT	268.2	D6A-1171
	This study	47.7	D6A-AGT	268.2	D6A-1140
	This study	47.7	D6A-AGT	268.2	D6A-1110
	This study	47.7	D6A-AGT	268.2	D6A-1108
	This study	47.7	D6A-AGT	268.2	D6A-1089
	This study	47.7	D6A-AGT	268.2	D6A-1050
	This study	47.7	D6A-AGT	268.2	D6A-1025
	This study	47.7	D6A-AGT	268.2	D6A-1005
	This study	47.7	D6A-AGT	268.2	D6A-953
	This study	47.7	D6A-AGT	268.2	D6A-902
	This study	47.7	D6A-AGT	268.2	D6A-852
	This study	47.7	D6A-AGT	268.2	D6A-800
	This study	47.7	D6A-AGT	268.2	D6A-775
	This study	47.7	D6A-AGT	268.2	D6A-754
	This study	47.7	D6A-AGT	268.2	D6A-713
	This study	47.7	D6A-AGT	268.2	D6A-633
	This study	47.7	D6A-AGT	268.2	D6A-594
	This study	47.7	D6A-AGT	268.2	D6A-555
	This study	47.7	D6A-AGT	268.2	D6A-515
	This study	47.7	D6A-AGT	268.2	D6A-478
	This study	47.7	D6A-AGT	268.2	D6A-459
	This study	47.7	D6A-AGT	268.2	D6A-323
	This study	47.7	D6A-AGT	268.2	D6A-285
	This study	47.7	D6A-AGT	268.2	D6A-238
	This study	47.7	D6A-AGT	268.2	D6A-202
	This study	47.7	D6A-AGT	268.2	D6A-163
	This study	47.7	D6A-BAN	268.2	D6A-2022
	This study	47.7	D6A-BAN	268.2	D6A-2009
	This study	47.7	D6A-BAN	268.2	D6A-2001
	This study	47.7	D6A-BAN	268.2	D6A-1989
	This study	47.7	D6A-BAN	268.2	D6A-1926
	This study	47.7	D6A-BAN	268.2	D6A-1913
	This study	47.7	D6A-BAN	268.2	D6A-1806
	This study	47.7	D6A-BAN	268.2	D6A-1789
	This study	47.7	D6A-BAN	268.2	D6A-1779
	This study	47.7	D6A-BAN	268.2	D6A-1762
	This study	47.7	D6A-BAN	268.2	D6A-1727
	This study	47.7	D6A-BH	268.2	D6A-1699
	This study	47.7	D6A-BH	268.2	D6A-1592
	This study	47.7	D6A-BH	268.2	D6A-1581
	This study	47.7	D6A-BH	268.2	D6A-1566
	This study	47.7	D6A-BH	268.2	D6A-1561
	This study	47.7	D6A-BH	268.2	D6A-1551
	This study	47.7	D6A-BH	268.2	D6A-1528
	This study	47.7	D6A-BH	268.2	D6A-1509
	This study	47.7	D6A-BH	268.2	D6A-1504
	This study	47.7	D6A-BH	268.2	D6A-1500
	This study	47.7	D6A-BH	268.2	D6A-1465
	This study	47.7	D6A-BH	268.2	D6A-1464
	This study	47.7	D6A-felsic	268.2	D6A-2123
	This study	47.7	D6A-felsic	268.2	D6A-2105
	This study	47.7	D6A-felsic	268.2	D6A-2095
	This study	47.7	D6A-felsic	268.2	D6A-2076
	This study	47.7	D6A-felsic	268.2	D6A-2046
	This study	47.7	D6A-felsic	268.2	D6A-2031
	This study	47.7	D6A-felsic	268.2	D6A-653
	This study	47.7	D6A-felsic	268.2	D6A-420
	This study	47.7	D6A-felsic	268.2	D6A-441
	This study	47.7	D6A-felsic	268.2	D6A-397
	This study	47.7	D6A-ultramafic	268.2	D6A-1899
	This study	47.7	D6A-ultramafic	268.2	D6A-1888
	This study	47.7	D6A-ultramafic	268.2	D6A-1880
	This study	47.7	D6A-ultramafic	268.2	D6A-1868
	This study	47.7	D6A-ultramafic	268.2	D6A-1861
	This study	47.7	D6A-ultramafic	268.2	D6A-1857
	This study	47.7	D6A-ultramafic	268.2	D6A-1849
	This study	47.7	D6A-ultramafic	268.2	D6A-1845
	This study	47.7	D6A-ultramafic	268.2	D6A-1833
	This study	47.7	D6A-ultramafic	268.2	D6A-1822
	This study	47.7	D6A-ultramafic	268.2	D6A-1605
	This study	47.7	D6A-ultramafic	268.2	D6A-1463
	This study	47.7	D6A-ultramafic	268.2	D6A-1461
	This study	47.7	D6A-ultramafic	268.2	D6A-1446
	This study	47.7	D6A-ultramafic	268.2	D6A-1342
	This study	47.7	D6A-ultramafic	268.2	D6A-1338
	This study	47.7	D6A-ultramafic	268.2	D6A-1322
	This study	47.7	D6A-ultramafic	268.2	D6A-1301
