tab 	specimens
analysts	citations	sample	specimen	volume	weight
	This study	D6A-1286	D6A-1286a	1.100e-05	3.099e-02
	This study	D6A-1264	D6A-1264a	1.100e-05	1.916e-02
	This study	D6A-1249	D6A-1249a	1.100e-05	2.543e-02
	This study	D6A-1236	D6A-1236a	1.100e-05	2.778e-02
	This study	D6A-1215	D6A-1215a	1.100e-05	3.185e-02
	This study	D6A-1196	D6A-1196a	1.100e-05	3.231e-02
	This study	D6A-1171	D6A-1171a	1.100e-05	3.161e-02
	This study	D6A-1140	D6A-1140a	1.100e-05	3.198e-02
	This study	D6A-1110	D6A-1110a	1.100e-05	3.142e-02
	This study	D6A-1108	D6A-1108a	1.100e-05	3.082e-02
	This study	D6A-1089	D6A-1089a	1.100e-05	3.226e-02
	This study	D6A-1050	D6A-1050a	1.100e-05	3.219e-02
	This study	D6A-1025	D6A-1025a	1.100e-05	2.987e-02
	This study	D6A-1005	D6A-1005a	1.100e-05	2.982e-02
	This study	D6A-953	D6A-953a	1.100e-05	3.003e-02
	This study	D6A-902	D6A-902a	1.100e-05	3.107e-02
	This study	D6A-852	D6A-852a	1.100e-05	3.247e-02
	This study	D6A-800	D6A-800a	1.100e-05	3.017e-02
	This study	D6A-775	D6A-775a	1.100e-05	3.067e-02
	This study	D6A-754	D6A-754a	1.100e-05	3.111e-02
	This study	D6A-713	D6A-713a	1.100e-05	3.136e-02
	This study	D6A-633	D6A-633a	1.100e-05	3.056e-02
	This study	D6A-594	D6A-594a	1.100e-05	3.052e-02
	This study	D6A-555	D6A-555a	1.100e-05	3.039e-02
	This study	D6A-515	D6A-515a	1.100e-05	3.056e-02
	This study	D6A-478	D6A-478a	1.100e-05	3.048e-02
	This study	D6A-459	D6A-459a	1.100e-05	2.917e-02
	This study	D6A-323	D6A-323a	1.100e-05	3.059e-02
	This study	D6A-285	D6A-285a	1.100e-05	3.122e-02
	This study	D6A-238	D6A-238a	1.100e-05	3.082e-02
	This study	D6A-202	D6A-202a	1.100e-05	3.445e-02
	This study	D6A-163	D6A-163a	1.100e-05	3.053e-02
	This study	D6A-2022	D6A-2022a	1.100e-05	2.200e-02
	This study	D6A-2009	D6A-2009a	1.100e-05	2.308e-02
	This study	D6A-2001	D6A-2001a	1.100e-05	2.415e-02
	This study	D6A-1989	D6A-1989a	1.100e-05	1.910e-02
	This study	D6A-1926	D6A-1926a	1.100e-05	2.215e-02
	This study	D6A-1913	D6A-1913a	1.100e-05	2.598e-02
	This study	D6A-1806	D6A-1806a	1.100e-05	2.401e-02
	This study	D6A-1789	D6A-1789a	1.100e-05	2.796e-02
	This study	D6A-1779	D6A-1779a	1.100e-05	2.630e-02
	This study	D6A-1762	D6A-1762a	1.100e-05	2.509e-02
	This study	D6A-1727	D6A-1727a	1.100e-05	2.112e-02
	This study	D6A-1699	D6A-1699a	1.100e-05	2.529e-02
	This study	D6A-1592	D6A-1592a	1.100e-05	2.485e-02
	This study	D6A-1581	D6A-1581a	1.100e-05	2.105e-02
	This study	D6A-1566	D6A-1566a	1.100e-05	2.856e-02
	This study	D6A-1561	D6A-1561a	1.100e-05	2.634e-02
	This study	D6A-1551	D6A-1551a	1.100e-05	3.252e-02
	This study	D6A-1528	D6A-1528a	1.100e-05	2.748e-02
	This study	D6A-1509	D6A-1509a	1.100e-05	2.486e-02
	This study	D6A-1504	D6A-1504a	1.100e-05	2.806e-02
	This study	D6A-1500	D6A-1500a	1.100e-05	2.783e-02
	This study	D6A-1465	D6A-1465a	1.100e-05	2.644e-02
	This study	D6A-1464	D6A-1464a	1.100e-05	2.997e-02
	This study	D6A-2123	D6A-2123a	1.100e-05	2.792e-02
	This study	D6A-2105	D6A-2105a	1.100e-05	
	This study	D6A-2095	D6A-2095a	1.100e-05	2.872e-02
	This study	D6A-2076	D6A-2076a	1.100e-05	2.851e-02
	This study	D6A-2046	D6A-2046a	1.100e-05	
	This study	D6A-2031	D6A-2031a	1.100e-05	1.830e-02
	This study	D6A-653	D6A-653a	1.100e-05	1.783e-02
	This study	D6A-420	D6A-420a	1.100e-05	2.886e-02
	This study	D6A-441	D6A-441a	1.100e-05	2.155e-02
	This study	D6A-397	D6A-397a	1.100e-05	2.446e-02
	This study	D6A-1899	D6A-1899a	1.100e-05	2.225e-02
	This study	D6A-1888	D6A-1888a	1.100e-05	2.648e-02
	This study	D6A-1880	D6A-1880a	1.100e-05	2.012e-02
	This study	D6A-1868	D6A-1868a	1.100e-05	2.510e-02
	This study	D6A-1861	D6A-1861a	1.100e-05	2.871e-02
	This study	D6A-1857	D6A-1857a	1.100e-05	2.353e-02
	This study	D6A-1849	D6A-1849a	1.100e-05	2.994e-02
	This study	D6A-1845	D6A-1845a	1.100e-05	2.493e-02
	This study	D6A-1833	D6A-1833a	1.100e-05	2.678e-02
	This study	D6A-1822	D6A-1822a	1.100e-05	2.341e-02
	This study	D6A-1605	D6A-1605a	1.100e-05	2.092e-02
	This study	D6A-1463	D6A-1463a	1.100e-05	3.445e-02
	This study	D6A-1461	D6A-1461a	1.100e-05	2.738e-02
	This study	D6A-1446	D6A-1446a	1.100e-05	3.391e-02
	This study	D6A-1342	D6A-1342a	1.100e-05	3.276e-02
	This study	D6A-1338	D6A-1338a	1.100e-05	2.521e-02
	This study	D6A-1322	D6A-1322a	1.100e-05	2.753e-02
	This study	D6A-1301	D6A-1301a	1.100e-05	3.593e-02
