tab 	measurements
analysts	citations	description	dir_csd	dir_dec	dir_inc	experiment	instrument_codes	magn_mass	magn_moment	magn_volume	magn_x_sigma	magn_y_sigma	magn_z_sigma	meas_n_orient	meas_temp	measurement	method_codes	quality	sequence	software_packages	specimen	standard	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp
	This study		0.5	067.8	66.2	D6A-2031a_LP-DIR-AF	hargrave 2026-07-23 19:54:16	6.995e-05	1.28e-06	1.164e-01	7.08e-09	1.01e-08	2.97e-09	8	273	D6A-2031a_LP-DIR-AF-1	LT-NO:LP-DIR-AF	g	0	pmagpy-4.4.0	D6A-2031a	u	0	0	0.00	0.00	0	273
	This study		0.5	067.9	65.7	D6A-2031a_LP-DIR-AF	hargrave 2026-07-23 19:55:51	6.831e-05	1.25e-06	1.136e-01	6.99e-09	1.02e-08	3.30e-09	8	273	D6A-2031a_LP-DIR-AF-2	LT-AF-Z:LP-DIR-AF	g	1	pmagpy-4.4.0	D6A-2031a	u	1.000e-03	0	0.00	0.00	1	273
	This study		0.5	068.4	64.7	D6A-2031a_LP-DIR-AF	hargrave 2026-07-23 19:57:26	6.612e-05	1.21e-06	1.100e-01	7.08e-09	9.94e-09	3.28e-09	8	273	D6A-2031a_LP-DIR-AF-3	LT-AF-Z:LP-DIR-AF	g	2	pmagpy-4.4.0	D6A-2031a	u	2.000e-03	0	0.00	0.00	2	273
	This study		0.5	068.7	63.4	D6A-2031a_LP-DIR-AF	hargrave 2026-07-23 19:59:01	6.339e-05	1.16e-06	1.055e-01	6.87e-09	9.63e-09	3.21e-09	8	273	D6A-2031a_LP-DIR-AF-4	LT-AF-Z:LP-DIR-AF	g	3	pmagpy-4.4.0	D6A-2031a	u	3.000e-03	0	0.00	0.00	3	273
	This study		0.5	069.3	62.1	D6A-2031a_LP-DIR-AF	hargrave 2026-07-23 20:00:35	6.120e-05	1.12e-06	1.018e-01	6.80e-09	9.25e-09	3.16e-09	8	273	D6A-2031a_LP-DIR-AF-5	LT-AF-Z:LP-DIR-AF	g	4	pmagpy-4.4.0	D6A-2031a	u	4.000e-03	0	0.00	0.00	4	273
	This study		0.7	069.5	61.3	D6A-2031a_LP-DIR-AF	hargrave 2026-07-23 20:02:10	5.847e-05	1.07e-06	9.727e-02	6.66e-09	1.25e-08	3.10e-09	8	273	D6A-2031a_LP-DIR-AF-6	LT-AF-Z:LP-DIR-AF	g	5	pmagpy-4.4.0	D6A-2031a	u	5.000e-03	0	0.00	0.00	5	273
	This study		0.6	070.8	57.9	D6A-2031a_LP-DIR-AF	hargrave 2026-07-23 20:03:45	5.372e-05	9.83e-07	8.936e-02	6.48e-09	8.61e-09	2.91e-09	8	273	D6A-2031a_LP-DIR-AF-7	LT-AF-Z:LP-DIR-AF	g	6	pmagpy-4.4.0	D6A-2031a	u	7.500e-03	0	0.00	0.00	6	273
	This study		0.6	071.7	55.4	D6A-2031a_LP-DIR-AF	hargrave 2026-07-23 20:05:20	5.027e-05	9.20e-07	8.364e-02	6.33e-09	8.36e-09	2.82e-09	8	273	D6A-2031a_LP-DIR-AF-8	LT-AF-Z:LP-DIR-AF	g	7	pmagpy-4.4.0	D6A-2031a	u	1.000e-02	0	0.00	0.00	7	273
	This study		0.6	072.0	53.6	D6A-2031a_LP-DIR-AF	hargrave 2026-07-23 20:06:55	4.792e-05	8.77e-07	7.973e-02	6.23e-09	8.17e-09	2.63e-09	8	273	D6A-2031a_LP-DIR-AF-9	LT-AF-Z:LP-DIR-AF	g	8	pmagpy-4.4.0	D6A-2031a	u	1.250e-02	0	0.00	0.00	8	273
	This study		0.6	072.4	52.4	D6A-2031a_LP-DIR-AF	hargrave 2026-07-23 20:08:30	4.601e-05	8.42e-07	7.655e-02	6.08e-09	8.07e-09	2.47e-09	8	273	D6A-2031a_LP-DIR-AF-10	LT-AF-Z:LP-DIR-AF	g	9	pmagpy-4.4.0	D6A-2031a	u	1.500e-02	0	0.00	0.00	9	273
	This study		0.6	072.5	51.4	D6A-2031a_LP-DIR-AF	hargrave 2026-07-23 20:10:05	4.421e-05	8.09e-07	7.355e-02	6.04e-09	7.88e-09	2.32e-09	8	273	D6A-2031a_LP-DIR-AF-11	LT-AF-Z:LP-DIR-AF	g	10	pmagpy-4.4.0	D6A-2031a	u	1.750e-02	0	0.00	0.00	10	273
	This study		0.6	072.7	50.0	D6A-2031a_LP-DIR-AF	hargrave 2026-07-23 20:11:39	4.311e-05	7.89e-07	7.173e-02	5.85e-09	7.75e-09	2.22e-09	8	273	D6A-2031a_LP-DIR-AF-12	LT-AF-Z:LP-DIR-AF	g	11	pmagpy-4.4.0	D6A-2031a	u	2.000e-02	0	0.00	0.00	11	273
	This study		0.6	072.9	49.9	D6A-2031a_LP-DIR-AF	hargrave 2026-07-23 20:13:14	4.191e-05	7.67e-07	6.973e-02	5.68e-09	7.42e-09	2.15e-09	8	273	D6A-2031a_LP-DIR-AF-13	LT-AF-Z:LP-DIR-AF	g	12	pmagpy-4.4.0	D6A-2031a	u	2.250e-02	0	0.00	0.00	12	273
	This study		0.6	073.8	48.9	D6A-2031a_LP-DIR-AF	hargrave 2026-07-23 20:14:49	4.120e-05	7.54e-07	6.855e-02	5.71e-09	7.56e-09	2.13e-09	8	273	D6A-2031a_LP-DIR-AF-14	LT-AF-Z:LP-DIR-AF	g	13	pmagpy-4.4.0	D6A-2031a	u	2.500e-02	0	0.00	0.00	13	273
	This study		0.6	073.8	48.3	D6A-2031a_LP-DIR-AF	hargrave 2026-07-23 20:17:19	4.027e-05	7.37e-07	6.700e-02	5.70e-09	7.25e-09	2.05e-09	8	273	D6A-2031a_LP-DIR-AF-15	LT-AF-Z:LP-DIR-AF	g	14	pmagpy-4.4.0	D6A-2031a	u	2.750e-02	0	0.00	0.00	14	273
	This study		0.6	072.7	48.0	D6A-2031a_LP-DIR-AF	hargrave 2026-07-23 20:18:54	3.929e-05	7.19e-07	6.536e-02	5.52e-09	7.19e-09	2.08e-09	8	273	D6A-2031a_LP-DIR-AF-16	LT-AF-Z:LP-DIR-AF	g	15	pmagpy-4.4.0	D6A-2031a	u	3.000e-02	0	0.00	0.00	15	273
	This study		0.6	074.2	47.6	D6A-2031a_LP-DIR-AF	hargrave 2026-07-23 20:20:29	3.809e-05	6.97e-07	6.336e-02	5.25e-09	6.64e-09	1.85e-09	8	273	D6A-2031a_LP-DIR-AF-17	LT-AF-Z:LP-DIR-AF	g	16	pmagpy-4.4.0	D6A-2031a	u	3.500e-02	0	0.00	0.00	16	273
	This study		0.6	074.7	47.0	D6A-2031a_LP-DIR-AF	hargrave 2026-07-23 20:22:04	3.721e-05	6.81e-07	6.191e-02	5.36e-09	6.67e-09	1.81e-09	8	273	D6A-2031a_LP-DIR-AF-18	LT-AF-Z:LP-DIR-AF	g	17	pmagpy-4.4.0	D6A-2031a	u	4.000e-02	0	0.00	0.00	17	273
	This study		0.6	074.6	47.8	D6A-2031a_LP-DIR-AF	hargrave 2026-07-23 20:23:39	3.617e-05	6.62e-07	6.018e-02	5.23e-09	6.47e-09	1.63e-09	8	273	D6A-2031a_LP-DIR-AF-19	LT-AF-Z:LP-DIR-AF	g	18	pmagpy-4.4.0	D6A-2031a	u	4.500e-02	0	0.00	0.00	18	273
	This study		0.6	075.1	47.7	D6A-2031a_LP-DIR-AF	hargrave 2026-07-23 20:25:13	3.530e-05	6.46e-07	5.873e-02	5.03e-09	6.32e-09	1.44e-09	8	273	D6A-2031a_LP-DIR-AF-20	LT-AF-Z:LP-DIR-AF	g	19	pmagpy-4.4.0	D6A-2031a	u	5.000e-02	0	0.00	0.00	19	273
	This study		0.6	073.9	47.7	D6A-2031a_LP-DIR-AF	hargrave 2026-07-23 20:26:48	3.410e-05	6.24e-07	5.673e-02	4.94e-09	6.18e-09	1.26e-09	8	273	D6A-2031a_LP-DIR-AF-21	LT-AF-Z:LP-DIR-AF	g	20	pmagpy-4.4.0	D6A-2031a	u	5.500e-02	0	0.00	0.00	20	273
