tab 	measurements
analysts	citations	description	dir_csd	dir_dec	dir_inc	experiment	instrument_codes	magn_mass	magn_moment	magn_volume	magn_x_sigma	magn_y_sigma	magn_z_sigma	meas_n_orient	meas_temp	measurement	method_codes	quality	sequence	software_packages	specimen	standard	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp
	This study		0.7	278.2	56.1	D6A-1322a_LT-NO	hargrave 2026-07-27 16:15:36	7.737e-03	2.13e-04	1.936e+01	1.81e-06	2.64e-06	1.15e-06	8	273	D6A-1322a_LT-NO-1	LT-NO	g	0	pmagpy-4.4.0	D6A-1322a	u	0	0	0.00	0.00		273
	This study		0.3	197.4	-52.8	D6A-1338a_LT-NO	hargrave 2026-07-27 15:25:44	3.070e-03	7.74e-05	7.036e+00	2.86e-07	3.03e-07	2.87e-07	8	273	D6A-1338a_LT-NO-2	LT-NO	g	1	pmagpy-4.4.0	D6A-1338a	u	0	0	0.00	0.00		273
	This study		0.9	029.9	-54.3	D6A-1342a_LT-NO	hargrave 2026-07-27 15:40:11	3.724e-03	1.22e-04	1.109e+01	1.38e-06	1.66e-06	6.93e-07	8	273	D6A-1342a_LT-NO-3	LT-NO	g	2	pmagpy-4.4.0	D6A-1342a	u	0	0	0.00	0.00		273
	This study		0.6	143.5	-58.3	D6A-1446a_LT-NO	hargrave 2026-07-27 15:50:44	4.217e-03	1.43e-04	1.300e+01	9.51e-07	1.28e-06	4.64e-07	8	273	D6A-1446a_LT-NO-4	LT-NO	g	3	pmagpy-4.4.0	D6A-1446a	u	0	0	0.00	0.00		273
	This study		11.2	075.8	41.9	D6A-1463a_LT-NO	hargrave 2026-07-21 14:31:54	5.486e-03	1.89e-04	1.718e+01	2.83e-05	4.02e-05	1.75e-06	8	273	D6A-1463a_LT-NO-5	LT-NO	g	4	pmagpy-4.4.0	D6A-1463a	u	0	0	0.00	0.00	0	273
	This study		1.1	086.2	56.8	D6A-1463a_LT-NO	hargrave 2026-07-27 14:57:53	8.099e-03	2.79e-04	2.536e+01	4.18e-06	4.68e-06	2.66e-06	8	273	D6A-1463a_LT-NO-6	LT-NO	g	5	pmagpy-4.4.0	D6A-1463a	u	0	0	0.00	0.00	1	273
	This study		0.7	028.2	-84.5	D6A-1605a_LP-DIR-AF	hargrave 2026-07-21 15:29:34	3.638e-04	7.61e-06	6.918e-01	6.48e-08	6.14e-08	6.00e-08	8	273	D6A-1605a_LP-DIR-AF-7	LT-NO:LP-DIR-AF	g	6	pmagpy-4.4.0	D6A-1605a	u	0	0	0.00	0.00	0	273
	This study		0.6	028.2	-84.5	D6A-1605a_LP-DIR-AF	hargrave 2026-07-21 17:39:13	3.638e-04	7.61e-06	6.918e-01	6.18e-08	5.87e-08	5.68e-08	8	273	D6A-1605a_LP-DIR-AF-8	LT-NO:LP-DIR-AF	g	7	pmagpy-4.4.0	D6A-1605a	u	0	0	0.00	0.00	1	273
	This study		0.6	023.9	-85.0	D6A-1605a_LP-DIR-AF	hargrave 2026-07-21 17:42:41	3.466e-04	7.25e-06	6.591e-01	6.00e-08	5.78e-08	5.77e-08	8	273	D6A-1605a_LP-DIR-AF-9	LT-AF-Z:LP-DIR-AF	g	8	pmagpy-4.4.0	D6A-1605a	u	1.000e-03	0	0.00	0.00	2	273
	This study		0.7	006.2	-85.7	D6A-1605a_LP-DIR-AF	hargrave 2026-07-21 17:45:12	3.078e-04	6.44e-06	5.855e-01	5.45e-08	5.28e-08	5.68e-08	8	273	D6A-1605a_LP-DIR-AF-10	LT-AF-Z:LP-DIR-AF	g	9	pmagpy-4.4.0	D6A-1605a	u	2.000e-03	0	0.00	0.00	3	273
	This study		0.7	337.3	-85.5	D6A-1605a_LP-DIR-AF	hargrave 2026-07-21 17:46:47	2.629e-04	5.50e-06	5.000e-01	4.71e-08	4.59e-08	5.34e-08	8	273	D6A-1605a_LP-DIR-AF-11	LT-AF-Z:LP-DIR-AF	g	10	pmagpy-4.4.0	D6A-1605a	u	3.000e-03	0	0.00	0.00	4	273
