tab	samples
sample	site	height	geologic_classes	geologic_types	lithologies	analysts	azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	dip	citations	method_codes
D6A-1899	D6A-1899	1899					    0.0	    0.0	    0.0	  180.0	   -0.0	This study	SO-CMD-NORTH
D6A-1888	D6A-1888	1888					    0.0	    0.0	    0.0	  180.0	   -0.0	This study	SO-CMD-NORTH
D6A-1880	D6A-1880	1880					    0.0	    0.0	    0.0	  180.0	   -0.0	This study	SO-CMD-NORTH
D6A-1868	D6A-1868	1868					    0.0	    0.0	    0.0	  180.0	   -0.0	This study	SO-CMD-NORTH
D6A-1861	D6A-1861	1861					    0.0	    0.0	    0.0	  180.0	   -0.0	This study	SO-CMD-NORTH
D6A-1857	D6A-1857	1857					    0.0	    0.0	    0.0	  180.0	   -0.0	This study	SO-CMD-NORTH
D6A-1849	D6A-1849	1849					    0.0	    0.0	    0.0	  180.0	   -0.0	This study	SO-CMD-NORTH
D6A-1845	D6A-1845	1845					    0.0	    0.0	    0.0	  180.0	   -0.0	This study	SO-CMD-NORTH
D6A-1833	D6A-1833	1833					    0.0	    0.0	    0.0	  180.0	   -0.0	This study	SO-CMD-NORTH
D6A-1822	D6A-1822	1822					    0.0	    0.0	    0.0	  180.0	   -0.0	This study	SO-CMD-NORTH
D6A-1605	D6A-1605	1605					    0.0	    0.0	    0.0	  180.0	   -0.0	This study	SO-CMD-NORTH
D6A-1463	D6A-1463	1462.8					    0.0	    0.0	    0.0	  180.0	   -0.0	This study	SO-CMD-NORTH
D6A-1461	D6A-1461	1461					    0.0	    0.0	    0.0	  180.0	   -0.0	This study	SO-CMD-NORTH
D6A-1446	D6A-1446	1446					    0.0	    0.0	    0.0	  180.0	   -0.0	This study	SO-CMD-NORTH
D6A-1342	D6A-1342	1342					    0.0	    0.0	    0.0	  180.0	   -0.0	This study	SO-CMD-NORTH
D6A-1338	D6A-1338	1338					    0.0	    0.0	    0.0	  180.0	   -0.0	This study	SO-CMD-NORTH
D6A-1322	D6A-1322	1322					    0.0	    0.0	    0.0	  180.0	   -0.0	This study	SO-CMD-NORTH
D6A-1301	D6A-1301	1301					    0.0	    0.0	    0.0	  180.0	  -90.0	This study	SO-CMD-NORTH
