tab 	specimens
analysts	citations	sample	specimen	volume	weight
	This study	D6A-1899	D6A-1899a	1.100e-05	2.225e-02
	This study	D6A-1888	D6A-1888a	1.100e-05	2.648e-02
	This study	D6A-1880	D6A-1880a	1.100e-05	2.012e-02
	This study	D6A-1868	D6A-1868a	1.100e-05	2.510e-02
	This study	D6A-1861	D6A-1861a	1.100e-05	2.871e-02
	This study	D6A-1857	D6A-1857a	1.100e-05	2.353e-02
	This study	D6A-1849	D6A-1849a	1.100e-05	2.994e-02
	This study	D6A-1845	D6A-1845a	1.100e-05	2.493e-02
	This study	D6A-1833	D6A-1833a	1.100e-05	2.678e-02
	This study	D6A-1822	D6A-1822a	1.100e-05	2.341e-02
	This study	D6A-1605	D6A-1605a	1.100e-05	2.092e-02
	This study	D6A-1463	D6A-1463a	1.100e-05	3.445e-02
	This study	D6A-1461	D6A-1461a	1.100e-05	2.738e-02
	This study	D6A-1446	D6A-1446a	1.100e-05	3.391e-02
	This study	D6A-1342	D6A-1342a	1.100e-05	3.276e-02
	This study	D6A-1338	D6A-1338a	1.100e-05	2.521e-02
	This study	D6A-1322	D6A-1322a	1.100e-05	2.753e-02
	This study	D6A-1301	D6A-1301a	1.100e-05	3.593e-02
