Depth,Susceptibility (10^-3 SI),Other notes
2125,25,GRB
2121,12.2,
2119,23.4,
2117,17.1,
2115,24.5,
2111,23.6,
2109,9.2,
2107,26.8,
2105,27.7,
2101,33.5,
2099,23.1,
2097,16.7,
2095,36.4,
2093,14,
2091,20.3,
2089,31,
2087,16.7,
2084,80,
2082,10.7,
2080,62.2,
2078,88.9,
2076,46.7,
2074,59.4,
2072,41.5,
2070,27.8,
2068,19.3,
2067,16,
2065,28,
2063,9.06,
2061,10,
2059,7.98,
2057,2.28,
2055,3.23,Quarter core
2053,9,Quarter core
2051,6.72,
2049,14.1,
2048,16.6,
2047,12.7,
2044,14.9,
2042,15.9,
2040,20.8,
2038,0.342,
2036,7.93,
2034,14.5,
2032,11,
2030,5.25,
2028,3.01,
2026,71,
2024,37.4,
2022,73.6,
2021,37.9,
2018,50.8,
2015,37.3,
2013,30.7,
2011,52.3,
2009,32.8,
2007,27.3,
2005,43.1,
2003,13.3,
2001,6.07,
2000,9.21,
1997,17.9,
1995,9.31,
1993,14.1,
1991,9.22,
1989,33.5,
1985,11.2,Quarter core
1981,990,Quarter core
1980,200,Quarter core
1978,26.4,Quarter core
1976,37.9,Quarter core
1972,31.2,Quarter core
1968,27.4,Quarter core
1964,19.4,Quarter core
1961,23.6,Quarter core
1960,491,Quarter core
1955,33,Quarter core
1953,158,Quarter core
1951,20.5,Quarter core
1949,32.5,Quarter core
1947,943,Quarter core
1945,607,Quarter core
1943,601,Quarter core
1941,80.5,Quarter core
1937,177,Quarter core
1935,332,Quarter core
1933,223,Quarter core
1931,32.5,Quarter core
1930,25.5,Quarter core
1928,39.3,Quarter core
1926,17.1,Quarter core
1924,5.98,Quarter core
1923,19.8,Quarter core
1920,22.3,Quarter core
1918,2,Quarter core
1917,32.2,Quarter core
1915,9.59,Quarter core
1913,8.44,
1911,7.4,
1909,10.1,
1907,9.64,
1905,11.5,
1903,11.8,
1901,8.9,
1899,25.6,
1897,25.9,
1895,17.9,
1893,7.03,
1891,3.45,
1889,4.65,
1887,7.68,
1884,9.05,
1882,4.73,
1880,6.89,
1878,4.62,
1876,8.86,
1874,4.43,
1872,14.1,
1870,15.7,
1868,38.9,
1867,25.5,
1865,18.2,
1863,3.14,
1861,25.6,
1859,15.6,
1857,6.26,
1855,10,
1853,3.09,
1851,4.76,
1849,36.9,
1847,59.6,
1845,46.8,
1843,60.8,
1841,55.5,
1840,68.7,
1837,33.5,Quarter core
1835,52.7,
1833,99.3,
1831,7.77,
1829,30,
1827,47.2,
1824,11.94,
1823,23.8,
1821,23.4,
1819,4.24,
1818,9.63,
1816,2.43,
1814,1.9,
1812,0.9,
1810,3.76,
1808,20,
1807,2.12,
1805,9.76,
1803,8.77,
1801,2.74,
1799,5.95,
1797,9.23,
1795,3.58,
1793,4.07,
1791,4.58,
1789,3.2,
1787,3.38,
1785,4.43,
1783,2.78,
1781,2.85,
1779,8.82,
1777,5.59,
1775,4.12,
1773,2.43,
1771,1.25,
1770,3.79,
1768,1.89,
1766,4.86,
1764,2.56,
1762,2.46,
1760,2.42,
1758,4.9,
1756,1.38,
1754,4.51,
1752,0.81,
1750,1.88,
1748,1.53,Quarter core
1746,2.64,Quarter core
1744,1.39,Quarter core
1742,2.53,Quarter core
1740,1.61,Quarter core
1739,1.56,Quarter core
1737,1,Quarter core
1735,1.34,Quarter core
1733,2.13,Quarter core
1731,3.91,Quarter core
1729,3.32,
1727,3.17,
1725,2.67,
1724,1.83,
1721,1.21,
1719,1.97,
1717,0.63,
1715,0.71,
1713,0.71,
1709,0.12,
1707,1.57,
1705,2.71,
1703,3,
1701,1.9,
1699,4.54,
1697,2.57,
1695,2.3,
1693,1.52,
1692,1.34,
1623,3.13,
1621,1.76,
1619,0.63,
1617,2.1,
1615,6.18,
1613,1.63,
1611,1.04,
1609,1.19,
1607,1.23,
1605,1.39,
1603,10.4,
1601,3.04,
1599,1.93,
1597,1.63,
1596,4.45,
1594,3.44,
1592,10.3,
1590,1.33,
1588,4.01,
1586,2.56,
1585,3.05,
1583,2.14,
1581,2.75,
1579,12,
1577,26.7,
1575,24.2,
1573,3.04,
1571,4.01,
1569,10.2,
1567,41.4,
1565,50.9,
1564,4.23,
1562,8.16,
1560,9.11,
1558,4.12,
1556,7.09,
1552,3.2,
1550,5.8,
1548,25.7,
1546,0.83,
1544,0.55,
1542,1.8,
1540,2.14,
1538,2.04,
1536,1.18,
1535,2.11,
1533,2.32,
1531,2.1,
1529,2.15,
1517,0.34,
1515,15.7,
1513,2.46,
1511,2.92,
1509,7.49,
1507,2.72,
1505,88.8,
1503,25.2,
1501,24.9,
1500,23.9,
1469,7.52,
1467,1.88,
1465,3.52,
1465.5,1.56,
1463,1.08,
1462.75,19.5,D6A 1463 sample
1461,32.3,
1448,7.33,
1446,13.1,
1436,6.52,
1428,1.47,
1652,1.16,Quarter core
1650,1.01,Quarter core
1648,0.82,Quarter core
1647,37.9,Quarter core
1643,1.53,Quarter core
1641,1.72,Quarter core
1639,7.45,Quarter core
1637,0.98,Quarter core
1635,6.25,Quarter core
1633,1.02,Quarter core
1631,9.92,Quarter core
1629,26.9,Quarter core
1627,11.7,Quarter core
1625,7.63,Quarter core
1551,47.1,
1561,1.29,
1526,8.88,Quarter core
1525,0.85,Quarter core
1523,12.5,Quarter core
1521,3.99,Quarter core
1519,0.31,Quarter core
1498,1.93,Quarter core
1496,0.64,Quarter core
1494,1,Quarter core
1492,8.53,Quarter core
1490,2.27,Quarter core
1690,13.1,Quarter core
1688,5.57,Quarter core
1686,1.62,Quarter core
1684,1.79,Quarter core
1682,2.12,Quarter core
1680,2.09,Quarter core
1679,1.39,Quarter core
1677,1.47,Quarter core
1675,3.8,Quarter core
1673,21.4,Quarter core
1671,4.06,Quarter core
1669,1.86,Quarter core
1667,2,Quarter core
1665,3.76,Quarter core
1663,8.9,Quarter core
1661,1.42,Quarter core
1659,7.86,Quarter core
1657,1.29,Quarter core
1655,2.29,Quarter core
1654,0.5,Quarter core
1459,36.2,Quarter core
1457,21.7,Quarter core
1455,25.2,Quarter core
1454,29.7,Quarter core
1452,25.5,Quarter core
1450,29,Quarter core
1444,1.95,Quarter core
1442,10.4,Quarter core
1434,1.2,Quarter core
1432,2.81,Quarter core
1430,6.37,Quarter core
1410,5.87,Quarter core
1408,1.16,Quarter core
1406,2.66,Quarter core
1405,2.9,Quarter core
1403,0.69,Quarter core
1399,2.27,Quarter core
1397,0.67,Quarter core
