SAMPLE,DEPTH_FROM_FT,DEPTH_TO_FT,DEPTH_MID_FT,Cu_pct,Cu_ppm,Ni_pct,Ni_ppm,Co_ppm,Ag_ppm,Au_ppm
1,124,160,142,0.0089,89,0.0128,128,,,
2,160,200,180,0.0149,149,0.0107,107,,,
3,200,250,225,0.0160,160,0.0105,105,,,
4,250,300,275,0.0188,188,0.0144,144,,,
5,300,350,325,0.0166,166,0.0094,94,,,
6,350,400,375,0.0032,32,0.0059,59,,,
7,400,450,425,0.0096,96,0.0101,101,,,
8,450,500,475,0.0161,161,0.0081,81,,,
9,500,550,525,0.0164,164,0.0089,89,,,
10,550,600,575,0.0163,163,0.0093,93,,,
11,600,650,625,0.0175,175,0.0072,72,,,
12,650,700,675,0.0133,133,0.0107,107,,,
13,700,750,725,0.0149,149,0.0142,142,,,
14,750,800,775,0.0125,125,0.0152,152,,,
15,800,850,825,0.0126,126,0.0159,159,,,
16,850,900,875,0.0125,125,0.0127,127,,,
17,900,950,925,0.0174,174,0.0174,174,,,
18,950,1000,975,0.0162,162,0.0088,88,,,
19,1000,1050,1025,0.0170,170,0.0117,117,,,
20,1050,1100,1075,0.0186,186,0.0341,341,,,
21,1100,1150,1125,0.0170,170,0.0295,295,,,
22,1150,1200,1175,0.0187,187,0.0292,292,,,
23,1200,1250,1225,0.0171,171,0.0306,306,,,
24,1250,1305,1277.5,0.0175,175,0.0257,257,,,
25,1305,1315,1310,0.23,2300,0.0773,773,,,
26,1315,1330,1322.5,0.15,1500,0.10,1000,147,-1,-0.02
27,1330,1340,1335,0.35,3500,0.15,1500,191,1,-0.02
28,1340,1350,1345,0.41,4100,0.16,1600,196,-1,0.03
29,1350,1360,1355,0.41,4100,0.17,1700,177,1,0.03
30,1360,1370,1365,0.53,5300,0.21,2100,219,1,0.04
31,1370,1380,1375,0.44,4400,0.15,1500,179,1,-0.02
32,1380,1390,1385,0.57,5700,0.23,2300,219,1,0.02
33,1390,1400,1395,0.48,4800,0.19,1900,184,1,-0.02
34,1400,1410,1405,0.60,6000,0.20,2000,162,1,0.03
35,1410,1420,1415,0.60,6000,0.22,2200,176,1,0.02
36,1420,1430,1425,0.79,7900,0.24,2400,174,1,0.04
37,1430,1440,1435,0.60,6000,0.21,2100,160,1,0.02
38,1440,1450,1445,0.52,5200,0.21,2100,202,1,0.02
39,1450,1460,1455,0.0113,113,0.11,1100,256,-1,-0.02
40,1460,1470,1465,0.35,3500,0.20,2000,148,-1,-0.02
41,1470,1480,1475,0.86,8600,0.21,2100,149,2,0.03
42,1480,1490,1485,0.73,7300,0.20,2000,172,2,0.02
43,1490,1500,1495,0.25,2500,0.0870,870,135,-1,-0.02
44,1500,1510,1505,0.25,2500,0.0983,983,193,1,-0.02
45,1510,1520,1515,0.34,3400,0.0940,940,108,1,-0.02
46,1520,1530,1525,0.31,3100,0.0856,856,123,1,-0.02
47,1530,1540,1535,0.0677,677,0.0341,341,79,-1,-0.02
48,1540,1550,1545,0.29,2900,0.0935,935,133,-1,-0.02
49,1550,1560,1555,0.22,2200,0.0922,922,157,-1,-0.02
50,1560,1570,1565,0.15,1500,0.0638,638,152,-1,-0.02
51,1570,1580,1575,0.22,2200,0.0720,720,141,-1,-0.02
52,1580,1590,1585,0.12,1200,0.0477,477,160,1,-0.02
53,1590,1600,1595,0.35,3500,0.0940,940,156,1,-0.02
54,1600,1610,1605,0.15,1500,0.0499,499,133,-1,-0.02
55,1610,1620,1615,0.22,2200,0.0593,593,129,-1,-0.02
56,1620,1630,1625,0.33,3300,0.12,1200,213,-1,-0.02
57,1630,1640,1635,0.44,4400,0.13,1300,177,1,-0.02
58,1640,1650,1645,0.55,5500,0.17,1700,152,1,-0.02
59,1650,1660,1655,0.55,5500,0.14,1400,138,1,-0.02
60,1660,1670,1665,0.71,7100,0.20,2000,156,1,-0.02
61,1670,1680,1675,0.47,4700,0.14,1400,152,1,-0.02
62,1680,1690,1685,0.51,5100,0.14,1400,140,1,-0.02
63,1690,1700,1695,0.49,4900,0.15,1500,141,1,-0.02
64,1700,1710,1705,0.24,2400,0.0903,903,103,-1,-0.02
65,1710,1720,1715,0.38,3800,0.13,1300,121,1,0.02
66,1720,1730,1725,0.46,4600,0.12,1200,123,1,-0.02
67,1730,1740,1735,0.45,4500,0.12,1200,108,1,-0.02
68,1740,1750,1745,0.26,2600,0.0763,763,75,-1,-0.02
69,1750,1760,1755,0.23,2300,0.0883,883,83,-1,-0.02
70,1760,1770,1765,0.47,4700,0.10,1000,113,1,-0.02
71,1770,1780,1775,0.15,1500,0.0786,786,,,
72,1780,1790,1785,0.0593,593,0.0381,381,,,
73,1790,1800,1795,0.0294,294,0.0317,317,,,
74,1800,1810,1805,0.0195,195,0.0275,275,,,
75,1810,1820,1815,0.20,2000,0.0881,881,,,
76,1820,1830,1825,0.18,1800,0.11,1100,,,
77,1830,1840,1835,0.19,1900,0.15,1500,,,
78,1840,1850,1845,0.10,1000,0.12,1200,,,
79,1850,1860,1855,0.33,3300,0.15,1500,,,
80,1860,1870,1865,0.28,2800,0.14,1400,,,
81,1870,1880,1875,0.11,1100,0.0661,661,,,
82,1880,1890,1885,0.0297,297,0.0340,340,,,
83,1890,1900,1895,0.17,1700,0.0935,935,,,
84,1900,1910,1905,0.27,2700,0.10,1000,,,
85,1910,1920,1915,0.27,2700,0.0929,929,,,
86,1920,1930,1925,0.22,2200,0.0773,773,,,
87,1930,1940,1935,0.31,3100,0.11,1100,,,
88,1940,1950,1945,0.20,2000,0.11,1100,,,
89,1950,1960,1955,0.32,3200,0.12,1200,,,
90,1960,1970,1965,0.30,3000,0.11,1100,,,
91,1970,1980,1975,0.25,2500,0.11,1100,,,
92,1980,1990,1985,0.25,2500,0.10,1000,,,
93,1990,2000,1995,0.15,1500,0.0658,658,,,
94,2000,2010,2005,0.0425,425,0.0353,353,,,
95,2010,2020,2015,0.31,3100,0.0728,728,,,
96,2020,2030,2025,0.20,2000,0.0410,410,,,
97,2030,2040,2035,0.0359,359,0.0061,61,,,
98,2040,2050,2045,0.0017,17,0.0033,33,,,
99,2050,2060,2055,0.13,1300,0.0170,170,,,
100,2060,2070,2065,0.0024,24,0.0039,39,,,
101,2070,2125,2097.5,0.0045,45,0.0056,56,,,
