DEPTH_FROM_FT,DEPTH_TO_FT,THICKNESS,FACIES,FORMATION,GROUP,DESCRIPTION
0,124,124,OVB,OVB,OVERBURDEN,Overburden / glacial cover
124,189,65,AT,MAIN AGT,SKI,AT-heterogeneous; altered with mafic granophyre veins @ 150-151.5 (fault zone); complex mixture of uralite red rock granophyre; ural+sauss granophyre; and serpentinized granophyre @ 156.5-161
189,194,5,GA_A,MAIN AGT,SKI,Pegmatite zone: sauss-uralite gabbro-anorthosite (GA-A) (DNR sampled)
194,196,2,PEG,MAIN AGT,SKI,Pegmatitic plag-cpx-ox-ol (DNR sampled)
196,197,1,AGT,MAIN AGT,SKI,AGT lens within pegmatite zone
197,203,6,AT,MAIN AGT,SKI,Wk-mod sauss-ural plag-ol-cpx-ox
203,218,15,AT,MAIN AGT,SKI,AT-Homogeneous; downward grading
218,265,47,AAT,MAIN AGT,SKI,AAT (AGT)-Homogeneous; downward grading
265,353,88,AGT,MAIN AGT,SKI,AGT-Homogeneous; grades into plag-rich AGT @ 327-353
353,430,77,GRANO,MAIN AGT,SKI,Red rock granophyre zone: 353-363 mixed AGT + 40-80% granophyre (cut by slicked ch-ural veins); 363-417 vuggy red rock granophyre (DNR sampled 363-393); 417-430 vuggy uralitized pyrox-feld granophyre + hem-stained
430,516,86,AGT,MAIN AGT,SKI,AGT-Homogeneous with +10% coarse intercumulus CPX through 455
516,526,10,HET,MAIN AGT,SKI,Hot zones: massive PEG + PIC + ol-cpx-ol; sauss AT; olivined AGT (DNR sampled)
526,527,1,AGT,MAIN AGT,SKI,AGT
527,528,1,ORT,MAIN AGT,SKI,ORT (sharp contacts 70-80 deg)
528,623,95,AGT,MAIN AGT,SKI,Olivine-rich AGT (Pic-rich olv-rich AGT?); M-C plag 60-70; olv R; pyrox 5-10; coarse intercumulus CPX 563-574
623,652,29,AAT,MAIN AGT,SKI,AAT-Homogeneous; downward grading; oikocrysts of olv+cpx (poikilitic intercum 50% pore space 1-3mm)
