facies,R,G,B,width,swatch
OVB,220,200,165,0.4,
AT,190,220,215,0.9,
AAT,175,215,195,0.9,
AT_T,155,210,200,0.85,
T,130,195,180,0.85,
T_ORT,145,175,160,0.75,
T_NOR,130,160,135,0.75,
AGT_OG,165,185,130,0.85,
AGT,145,175,100,0.85,
GA,125,155,85,0.85,
MELAGAB,95,130,70,0.75,
GA_A,200,195,165,0.85,
ORT,130,95,115,0.7,
PIC,90,110,55,0.7,
FP,70,90,45,0.6,
PER,50,70,35,0.55,
DUN,30,50,25,0.5,
HBLD,45,55,40,0.5,
HNFL,100,90,80,0.5,
HET,175,175,165,0.7,
PEG,245,195,215,1.0,
GRANO,245,175,150,0.95,
QMONZ,235,200,145,1.0,
