sample name, footage, sample type, Severson unit, Severson description, rock type, sulfide (%), our description, group, lithologies, geologic classes, geologic types, method codes, age, age sigma, age low, age high, age unit, age citation, mass a (g), mass b (g), mass c (g), mass d (g), chip c note, chip d note, thick section
D6A-2123, 2123, full core core, GRB, MED. GRN GRANITE, quartz monzonite, 0, equigranular 1 mm granite, Felsic, Quartz Monzonite, Igneous:Intrusive, Pluton, FS-C-DRILL:SO-V, , , 2674, 2685, Ma, 10.1139/e93-217, 27.92499, 0.15849, , , , , yes
D6A-2105, 2105, half core core, GRB, MED. GRN GRANITE, quartz monzonite, 0, equigranular 1 mm granite, Felsic, Quartz Monzonite, Igneous:Intrusive, Pluton, FS-C-DRILL:SO-V, , , 2674, 2685, Ma, 10.1139/e93-217, , 0.15306, 0.13737, , , , 
D6A-2095, 2095, full core core, GRB, CS GRN PORPYRITIC, quartz monzonite, 0, porphyritic granite with 3 mm ground mass with plag phenos up to 1 cm, Felsic, Quartz Monzonite, Igneous:Intrusive, Pluton, FS-C-DRILL:SO-V, , , 2674, 2685, Ma, 10.1139/e93-217, 28.722099, 0.12241, 0.07377, , , , yes
D6A-2076, 2076, full core core, GRB, CS GRN PORPYRITIC, quartz monzonite, 0, porphyritic granite with plag phenos up to 3 cm that are aligned in tilted foliation, Felsic, Quartz Monzonite, Igneous:Intrusive, Pluton, FS-C-DRILL:SO-V, , , 2674, 2685, Ma, 10.1139/e93-217, 28.505779, 0.1277, 0.16195, 0.01548, , albite chip, yes
D6A-2046, 2046, half core core, GRB, MED. GRN GRANITE, quartz monzonite, 0, 0.5 cm grain size with subhorizontal igneous foliation, Felsic, Quartz Monzonite, Igneous:Intrusive, Pluton, FS-C-DRILL:SO-V, , , 2674, 2685, Ma, 10.1139/e93-217, , 0.18817, , , , , 
D6A-2031, 2031, quarter core, GRB, Homog. (Noritic) CP-BN+Po-rich zone (10%), quartz monzonite, 3, quartz monzonite 0.7 to 1 mm grain quartz monozonite footwall with abundant sulfides (bright brassy chalcopyrite?). We consider this to be GRB rather than assimilated GRB., Felsic, Quartz Monzonite, Igneous:Intrusive, Pluton, FS-C-DRILL:SO-V, , , 2674, 2685, Ma, 10.1139/e93-217, 18.29874, 0.11957, 0.12852, , , , 
D6A-2022, 2022, quarter core, BAN (l), Troctolite (crossed-out) Homog. (Noritic), troctolite, 1, 0.3 to 0.5 cm troctolite (preferring Severson's initial call of troctolite over norite), BAN, Troctolite, Igneous:Intrusive, Layered Intrusion, FS-C-DRILL:SO-V, 1096.19, 0.095, , , Ma, 10.1130/G47873.1, 21.997169, 0.17122, , , , , yes
D6A-2009, 2009, quarter core, BAN (l), TROCT (MOD HET), augite troctolite, 3, 0.3 cm augite troctolite sulfides up to 0.5 cm, BAN, Troctolite, Igneous:Intrusive, Layered Intrusion, FS-C-DRILL:SO-V, 1096.19, 0.095, , , Ma, 10.1130/G47873.1, 23.084709, 0.1435, , , , , 
D6A-2001, 2001, quarter core, BAN (l), AGT-HOMOG., augite troctolite, 1, 0.3 to 0.5 cm with sulfides up to 0.4 cm, BAN, Troctolite, Igneous:Intrusive, Layered Intrusion, FS-C-DRILL:SO-V, 1096.19, 0.095, , , Ma, 10.1130/G47873.1, 24.15041, 0.25505, , , , , 
D6A-1989, 1989, quarter core, BAN (l), AGT-HOMOG., augite troctolite, 7, 0.3 to 0.5 cm with sulfides, BAN, Troctolite, Igneous:Intrusive, Layered Intrusion, FS-C-DRILL:SO-V, 1096.19, 0.095, , , Ma, 10.1130/G47873.1, 19.09581, 0.16491, , , , , 
D6A-1926, 1926, quarter core, BAN (l), T-HOMOG, augite troctolite, 3, 0.3 to 0.5 cm with sulfide up to 1 cm sulfides include the peacock colored bornite, BAN, Troctolite, Igneous:Intrusive, Layered Intrusion, FS-C-DRILL:SO-V, 1096.19, 0.095, , , Ma, 10.1130/G47873.1, 22.148451, 0.14067, 0.16389, , , , 
D6A-1913, 1913, quarter core, BAN (l), T-HOMOG, troctolite, 5, 0.3 to 0.5 cm with sulfides up to 0.5, BAN, Troctolite, Igneous:Intrusive, Layered Intrusion, FS-C-DRILL:SO-V, 1096.19, 0.095, , , Ma, 10.1130/G47873.1, 25.9779, 0.16448, , , , , yes
D6A-1899, 1899, quarter core, U3, ORT, olivine-rich troctolite, 0, 0.2 cm with plag laths up to 2 cm with igneous foliation, Ultramafic, Troctolite, Igneous:Intrusive, Layered Intrusion, FS-C-DRILL:SO-V, 1096.19, 0.095, , , Ma, 10.1130/G47873.1, 22.247, 0.21501, 0.23354, , , , 
D6A-1888, 1888, quarter core, U3, AGT, augite troctolite, 0, 0.3 to 0.5 cm grain size; on the box Mark has this grouped as U3 but seems more natural fit in the BAN (which is what he has labeled on box), Ultramafic, Troctolite, Igneous:Intrusive, Layered Intrusion, FS-C-DRILL:SO-V, 1096.19, 0.095, , , Ma, 10.1130/G47873.1, 26.475611, 0.14388, , , , , 
D6A-1880, 1880, quarter core, U3, AGT, augite troctolite, 0, 0.3 to 0.5 cm grain size; on the box Mark has this grouped as U3 but seems more natural fit in the BAN (which is what he has labeled on box), Ultramafic, Troctolite, Igneous:Intrusive, Layered Intrusion, FS-C-DRILL:SO-V, 1096.19, 0.095, , , Ma, 10.1130/G47873.1, 20.12063, 0.15503, , , , , 
D6A-1868, 1868, quarter core, U3, PER, peridotite, 0, fine-grained and more green than other peridotites in this interval, Ultramafic, Peridotite, Igneous:Intrusive, Layered Intrusion, FS-C-DRILL:SO-V, 1096.19, 0.095, , , Ma, 10.1130/G47873.1, 25.096331, 0.19287, 0.1271, , , , 
