Specimen_ID,Specimen_description,Specimen_azimuth,Specimen_plunge,Specimen_mass[g],Specimen_vol[cc],Specimen_coordinate,Uchannel_length[cm],Uchannel_area[cm2],Sample_ID,Sample_description,Site_ID,Site_description,Site_lat,Site_lon,Site_coordinate,Site_bedding_dip,Site_dip_azimuth,Locality_ID,Locality_description,Expedition_ID,Expedition_description,material_ID,material_description,material_manufacturer,material_composition,material_mineral_name,material_grain_length[um],material_grain_L/W_ratio,composition_parameter_X,composition_parameter_Y,oxidation_parameter_Z
D6A-2123a,oriented specimen for remanence,0,0,,,2123,,,D6A-2123,equigranular 1 mm granite,D6A-2123,Severson unit GRB; Severson description: MED. GRN GRANITE; rock type: quartz monzonite; sulfide 0%,47.6989,-91.8362,2123,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-2123b,chip for rock magnetic experiments,,,,,2123,,,D6A-2123,equigranular 1 mm granite,D6A-2123,Severson unit GRB; Severson description: MED. GRN GRANITE; rock type: quartz monzonite; sulfide 0%,47.6989,-91.8362,2123,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-2105a,oriented specimen for remanence,0,0,,,2105,,,D6A-2105,equigranular 1 mm granite,D6A-2105,Severson unit GRB; Severson description: MED. GRN GRANITE; rock type: quartz monzonite; sulfide 0%,47.6989,-91.8362,2105,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-2105b,chip for rock magnetic experiments,,,,,2105,,,D6A-2105,equigranular 1 mm granite,D6A-2105,Severson unit GRB; Severson description: MED. GRN GRANITE; rock type: quartz monzonite; sulfide 0%,47.6989,-91.8362,2105,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-2095a,oriented specimen for remanence,0,0,,,2095,,,D6A-2095,porphyritic granite with 3 mm ground mass with plag phenos up to 1 cm,D6A-2095,Severson unit GRB; Severson description: CS GRN PORPYRITIC; rock type: quartz monzonite; sulfide 0%,47.6989,-91.8362,2095,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-2095b,chip for rock magnetic experiments,,,,,2095,,,D6A-2095,porphyritic granite with 3 mm ground mass with plag phenos up to 1 cm,D6A-2095,Severson unit GRB; Severson description: CS GRN PORPYRITIC; rock type: quartz monzonite; sulfide 0%,47.6989,-91.8362,2095,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-2076a,oriented specimen for remanence,0,0,,,2076,,,D6A-2076,porphyritic granite with plag phenos up to 3 cm that are aligned in tilted foliation,D6A-2076,Severson unit GRB; Severson description: CS GRN PORPYRITIC; rock type: quartz monzonite; sulfide 0%,47.6989,-91.8362,2076,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-2076b,chip for rock magnetic experiments,,,,,2076,,,D6A-2076,porphyritic granite with plag phenos up to 3 cm that are aligned in tilted foliation,D6A-2076,Severson unit GRB; Severson description: CS GRN PORPYRITIC; rock type: quartz monzonite; sulfide 0%,47.6989,-91.8362,2076,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-2046a,oriented specimen for remanence,0,0,,,2046,,,D6A-2046,0.5 cm grain size with subhorizontal igneous foliation,D6A-2046,Severson unit GRB; Severson description: MED. GRN GRANITE; rock type: quartz monzonite; sulfide 0%,47.6989,-91.8362,2046,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-2046b,chip for rock magnetic experiments,,,,,2046,,,D6A-2046,0.5 cm grain size with subhorizontal igneous foliation,D6A-2046,Severson unit GRB; Severson description: MED. GRN GRANITE; rock type: quartz monzonite; sulfide 0%,47.6989,-91.8362,2046,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
