Specimen_ID,Specimen_description,Specimen_azimuth,Specimen_plunge,Specimen_mass[g],Specimen_vol[cc],Specimen_coordinate,Uchannel_length[cm],Uchannel_area[cm2],Sample_ID,Sample_description,Site_ID,Site_description,Site_lat,Site_lon,Site_coordinate,Site_bedding_dip,Site_dip_azimuth,Locality_ID,Locality_description,Expedition_ID,Expedition_description,material_ID,material_description,material_manufacturer,material_composition,material_mineral_name,material_grain_length[um],material_grain_L/W_ratio,composition_parameter_X,composition_parameter_Y,oxidation_parameter_Z,Sample_method_codes,Site_method_codes,Site_geologic_classes,Site_geologic_types,Site_lithologies,Site_age,Site_age_sigma,Site_age_low,Site_age_high,Site_age_unit,Locality_type,Locality_geologic_classes,Locality_lithologies,Locality_age,Locality_age_sigma,Locality_age_low,Locality_age_high,Locality_age_unit
D6A-2123a,oriented specimen for remanence,0,0,27.92499,,2123,,,D6A-2123,equigranular 1 mm granite,D6A-2123,Severson unit GRB; Severson description: MED. GRN GRANITE; rock type: quartz monzonite; sulfide 0%,47.6989,268.1638,2123,,,D6A-felsic,"Group Felsic: GRB footwall, granophyre, and oxidized augite troctolite; D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,,FS-C-DRILL:SO-V,FS-C-DRILL:SO-V,Igneous:Intrusive,Pluton,Quartz Monzonite,,,2674,2685,Ma,Drill Site,Igneous:Intrusive,Quartz Monzonite:Granophyre:Troctolite,,,1096.19,2685,Ma
D6A-2123b,chip for rock magnetic experiments,,,0.15849,,2123,,,D6A-2123,equigranular 1 mm granite,D6A-2123,Severson unit GRB; Severson description: MED. GRN GRANITE; rock type: quartz monzonite; sulfide 0%,47.6989,268.1638,2123,,,D6A-felsic,"Group Felsic: GRB footwall, granophyre, and oxidized augite troctolite; D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,,FS-C-DRILL:SO-V,FS-C-DRILL:SO-V,Igneous:Intrusive,Pluton,Quartz Monzonite,,,2674,2685,Ma,Drill Site,Igneous:Intrusive,Quartz Monzonite:Granophyre:Troctolite,,,1096.19,2685,Ma
D6A-2123t,polished thick section prepared for SEM analysis and QDM analysis,,,,,2123,,,D6A-2123,equigranular 1 mm granite,D6A-2123,Severson unit GRB; Severson description: MED. GRN GRANITE; rock type: quartz monzonite; sulfide 0%,47.6989,268.1638,2123,,,D6A-felsic,"Group Felsic: GRB footwall, granophyre, and oxidized augite troctolite; D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,,FS-C-DRILL:SO-V,FS-C-DRILL:SO-V,Igneous:Intrusive,Pluton,Quartz Monzonite,,,2674,2685,Ma,Drill Site,Igneous:Intrusive,Quartz Monzonite:Granophyre:Troctolite,,,1096.19,2685,Ma
D6A-2105a,oriented specimen for remanence,0,0,,,2105,,,D6A-2105,equigranular 1 mm granite,D6A-2105,Severson unit GRB; Severson description: MED. GRN GRANITE; rock type: quartz monzonite; sulfide 0%,47.6989,268.1638,2105,,,D6A-felsic,"Group Felsic: GRB footwall, granophyre, and oxidized augite troctolite; D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,,FS-C-DRILL:SO-V,FS-C-DRILL:SO-V,Igneous:Intrusive,Pluton,Quartz Monzonite,,,2674,2685,Ma,Drill Site,Igneous:Intrusive,Quartz Monzonite:Granophyre:Troctolite,,,1096.19,2685,Ma
D6A-2105b,chip for rock magnetic experiments,,,0.15306,,2105,,,D6A-2105,equigranular 1 mm granite,D6A-2105,Severson unit GRB; Severson description: MED. GRN GRANITE; rock type: quartz monzonite; sulfide 0%,47.6989,268.1638,2105,,,D6A-felsic,"Group Felsic: GRB footwall, granophyre, and oxidized augite troctolite; D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,,FS-C-DRILL:SO-V,FS-C-DRILL:SO-V,Igneous:Intrusive,Pluton,Quartz Monzonite,,,2674,2685,Ma,Drill Site,Igneous:Intrusive,Quartz Monzonite:Granophyre:Troctolite,,,1096.19,2685,Ma
D6A-2105c,chip for rock magnetic experiments,,,0.13737,,2105,,,D6A-2105,equigranular 1 mm granite,D6A-2105,Severson unit GRB; Severson description: MED. GRN GRANITE; rock type: quartz monzonite; sulfide 0%,47.6989,268.1638,2105,,,D6A-felsic,"Group Felsic: GRB footwall, granophyre, and oxidized augite troctolite; D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,,FS-C-DRILL:SO-V,FS-C-DRILL:SO-V,Igneous:Intrusive,Pluton,Quartz Monzonite,,,2674,2685,Ma,Drill Site,Igneous:Intrusive,Quartz Monzonite:Granophyre:Troctolite,,,1096.19,2685,Ma
D6A-2095a,oriented specimen for remanence,0,0,28.722099,,2095,,,D6A-2095,porphyritic granite with 3 mm ground mass with plag phenos up to 1 cm,D6A-2095,Severson unit GRB; Severson description: CS GRN PORPYRITIC; rock type: quartz monzonite; sulfide 0%,47.6989,268.1638,2095,,,D6A-felsic,"Group Felsic: GRB footwall, granophyre, and oxidized augite troctolite; D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,,FS-C-DRILL:SO-V,FS-C-DRILL:SO-V,Igneous:Intrusive,Pluton,Quartz Monzonite,,,2674,2685,Ma,Drill Site,Igneous:Intrusive,Quartz Monzonite:Granophyre:Troctolite,,,1096.19,2685,Ma
D6A-2095b,chip for rock magnetic experiments,,,0.12241,,2095,,,D6A-2095,porphyritic granite with 3 mm ground mass with plag phenos up to 1 cm,D6A-2095,Severson unit GRB; Severson description: CS GRN PORPYRITIC; rock type: quartz monzonite; sulfide 0%,47.6989,268.1638,2095,,,D6A-felsic,"Group Felsic: GRB footwall, granophyre, and oxidized augite troctolite; D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,,FS-C-DRILL:SO-V,FS-C-DRILL:SO-V,Igneous:Intrusive,Pluton,Quartz Monzonite,,,2674,2685,Ma,Drill Site,Igneous:Intrusive,Quartz Monzonite:Granophyre:Troctolite,,,1096.19,2685,Ma
D6A-2095c,chip for rock magnetic experiments,,,0.07377,,2095,,,D6A-2095,porphyritic granite with 3 mm ground mass with plag phenos up to 1 cm,D6A-2095,Severson unit GRB; Severson description: CS GRN PORPYRITIC; rock type: quartz monzonite; sulfide 0%,47.6989,268.1638,2095,,,D6A-felsic,"Group Felsic: GRB footwall, granophyre, and oxidized augite troctolite; D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,,FS-C-DRILL:SO-V,FS-C-DRILL:SO-V,Igneous:Intrusive,Pluton,Quartz Monzonite,,,2674,2685,Ma,Drill Site,Igneous:Intrusive,Quartz Monzonite:Granophyre:Troctolite,,,1096.19,2685,Ma
D6A-2095t,polished thick section prepared for SEM analysis and QDM analysis,,,,,2095,,,D6A-2095,porphyritic granite with 3 mm ground mass with plag phenos up to 1 cm,D6A-2095,Severson unit GRB; Severson description: CS GRN PORPYRITIC; rock type: quartz monzonite; sulfide 0%,47.6989,268.1638,2095,,,D6A-felsic,"Group Felsic: GRB footwall, granophyre, and oxidized augite troctolite; D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,,FS-C-DRILL:SO-V,FS-C-DRILL:SO-V,Igneous:Intrusive,Pluton,Quartz Monzonite,,,2674,2685,Ma,Drill Site,Igneous:Intrusive,Quartz Monzonite:Granophyre:Troctolite,,,1096.19,2685,Ma
