,site_info,,,,,,,,,,,,,,,,,,,,,
site_id,SL-,,,,,,,,,,,,,,,,,,,,,
site_name,SL-,,,,,,,,,,,,,,,,,,,,,
site_lat,48.684,(ºN),,,,,,,,,,,,,,,,,,,,
site_long,-89.247,(ºE),,,,,,Sun Compass Information,,,,,,,,,Calculated Fields,,,,,
site_elevation,480,,,,,,,,,,,,,,,,,,,,,
sample_name,comment,strat_level,magnetic_core_strike,core_dip,bedding_strike,bedding_dip,correct_bedding_using_local_dec,shadow_angle,GMT_offset,year,month,days,hours,minutes,mass,runs,sun_core_strike,calculated_IGRF,IGRF_local_dec,calculated_mag_dec,core_strike,corrected_bedding_strike
1a,mag compass orientation (IGRF corrected),413.35,0,0.0,0.0,0.0,no,nan,-4.0,2019.0,5.0,6.0,12.0,0.0,0.0,nan,nan,[356.0668519887748; 74.02287274651522; 56279.047890527334],-3.933148011225228,insufficient data,-3.9,nan
2a,mag compass orientation (IGRF corrected),414.15,0,0.0,0.0,0.0,no,nan,-4.0,2019.0,5.0,6.0,12.0,0.0,0.0,nan,nan,[356.0668519887748; 74.02287274651522; 56279.047890527334],-3.933148011225228,insufficient data,-3.9,nan
3a,mag compass orientation (IGRF corrected),414.6,0,0.0,0.0,0.0,no,nan,-4.0,2019.0,5.0,6.0,12.0,0.0,0.0,nan,nan,[356.0668519887748; 74.02287274651522; 56279.047890527334],-3.933148011225228,insufficient data,-3.9,nan
4a,mag compass orientation (IGRF corrected),417.6,0,0.0,0.0,0.0,no,nan,-4.0,2019.0,5.0,6.0,12.0,0.0,0.0,nan,nan,[356.0668519887748; 74.02287274651522; 56279.047890527334],-3.933148011225228,insufficient data,-3.9,nan
5a,mag compass orientation (IGRF corrected),428.2,0,0.0,0.0,0.0,no,nan,-4.0,2019.0,5.0,6.0,12.0,0.0,0.0,nan,nan,[356.0668519887748; 74.02287274651522; 56279.047890527334],-3.933148011225228,insufficient data,-3.9,nan
6a,mag compass orientation (IGRF corrected),441.2,0,0.0,0.0,0.0,no,nan,-4.0,2019.0,5.0,6.0,12.0,0.0,0.0,nan,nan,[356.0668519887748; 74.02287274651522; 56279.047890527334],-3.933148011225228,insufficient data,-3.9,nan
7a,mag compass orientation (IGRF corrected),603.7,0,0.0,0.0,0.0,no,nan,-4.0,2019.0,5.0,6.0,12.0,0.0,0.0,nan,nan,[356.0668519887748; 74.02287274651522; 56279.047890527334],-3.933148011225228,insufficient data,-3.9,nan
8a,mag compass orientation (IGRF corrected),622.2,0,0.0,0.0,0.0,no,nan,-4.0,2019.0,5.0,6.0,12.0,0.0,0.0,nan,nan,[356.0668519887748; 74.02287274651522; 56279.047890527334],-3.933148011225228,insufficient data,-3.9,nan
9a,mag compass orientation (IGRF corrected),625.3,0,0.0,0.0,0.0,no,nan,-4.0,2019.0,5.0,6.0,12.0,0.0,0.0,nan,nan,[356.0668519887748; 74.02287274651522; 56279.047890527334],-3.933148011225228,insufficient data,-3.9,nan
10a,mag compass orientation (IGRF corrected),663.1,0,0.0,0.0,0.0,no,nan,-4.0,2019.0,5.0,6.0,12.0,0.0,0.0,nan,nan,[356.0668519887748; 74.02287274651522; 56279.047890527334],-3.933148011225228,insufficient data,-3.9,nan
11a,mag compass orientation (IGRF corrected),668.9,0,0.0,0.0,0.0,no,nan,-4.0,2019.0,5.0,6.0,12.0,0.0,0.0,nan,nan,[356.0668519887748; 74.02287274651522; 56279.047890527334],-3.933148011225228,insufficient data,-3.9,nan
12a,mag compass orientation (IGRF corrected),680.5,0,0.0,0.0,0.0,no,nan,-4.0,2019.0,5.0,6.0,12.0,0.0,0.0,nan,nan,[356.0668519887748; 74.02287274651522; 56279.047890527334],-3.933148011225228,insufficient data,-3.9,nan
13a,mag compass orientation (IGRF corrected),685.8,0,0.0,0.0,0.0,no,nan,-4.0,2019.0,5.0,6.0,12.0,0.0,0.0,nan,nan,[356.0668519887748; 74.02287274651522; 56279.047890527334],-3.933148011225228,insufficient data,-3.9,nan
14a,mag compass orientation (IGRF corrected),690.5,0,0.0,0.0,0.0,no,nan,-4.0,2019.0,5.0,6.0,12.0,0.0,0.0,nan,nan,[356.0668519887748; 74.02287274651522; 56279.047890527334],-3.933148011225228,insufficient data,-3.9,nan
15a,mag compass orientation (IGRF corrected),708.8,0,0.0,0.0,0.0,no,nan,-4.0,2019.0,5.0,6.0,12.0,0.0,0.0,nan,nan,[356.0668519887748; 74.02287274651522; 56279.047890527334],-3.933148011225228,insufficient data,-3.9,nan
16a,mag compass orientation (IGRF corrected),710.75,0,0.0,0.0,0.0,no,nan,-4.0,2019.0,5.0,6.0,12.0,0.0,0.0,nan,nan,[356.0668519887748; 74.02287274651522; 56279.047890527334],-3.933148011225228,insufficient data,-3.9,nan
17a,mag compass orientation (IGRF corrected),719.45,0,0.0,0.0,0.0,no,nan,-4.0,2019.0,5.0,6.0,12.0,0.0,0.0,nan,nan,[356.0668519887748; 74.02287274651522; 56279.047890527334],-3.933148011225228,insufficient data,-3.9,nan
18a,mag compass orientation (IGRF corrected),734.2,0,0.0,0.0,0.0,no,nan,-4.0,2019.0,5.0,6.0,12.0,0.0,0.0,nan,nan,[356.0668519887748; 74.02287274651522; 56279.047890527334],-3.933148011225228,insufficient data,-3.9,nan
19a,mag compass orientation (IGRF corrected),736.4,0,0.0,0.0,0.0,no,nan,-4.0,2019.0,5.0,6.0,12.0,0.0,0.0,nan,nan,[356.0668519887748; 74.02287274651522; 56279.047890527334],-3.933148011225228,insufficient data,-3.9,nan
20a,mag compass orientation (IGRF corrected),746.4,0,0.0,0.0,0.0,no,nan,-4.0,2019.0,5.0,6.0,12.0,0.0,0.0,nan,nan,[356.0668519887748; 74.02287274651522; 56279.047890527334],-3.933148011225228,insufficient data,-3.9,nan
21a,mag compass orientation (IGRF corrected),799.9,0,0.0,0.0,0.0,no,nan,-4.0,2019.0,5.0,6.0,12.0,0.0,0.0,nan,nan,[356.0668519887748; 74.02287274651522; 56279.047890527334],-3.933148011225228,insufficient data,-3.9,nan
