,site_info,,,,,,,,,,,,,,,,,,,,,
site_id,SL-,,,,,,,,,,,,,,,,,,,,,
site_name,SL-,,,,,,,,,,,,,,,,,,,,,
site_lat,48.684,(ºN),,,,,,,,,,,,,,,,,,,,
site_long,-89.247,(ºE),,,,,,Sun Compass Information,,,,,,,,,Calculated Fields,,,,,
site_elevation,480,(meters),only used if no sun data,,,,[default is yes] (yes or no),all sun compass info is optional,,,,,,,,Optional Field,default core strike,,,,,
sample_name,comment,strat_level,magnetic_core_strike,core_dip,bedding_strike,bedding_dip,correct_bedding_using_local_dec,shadow_angle,GMT_offset,year,month,days,hours,minutes,mass,runs,sun_core_strike,calculated_IGRF,IGRF_local_dec,calculated_mag_dec,core_strike,corrected_bedding_strike
1a,SL-18-019-413.35,413.35,0,0,0,0,no,,-4,2019,5,6,12,0,0.01376,,,,,,,
2a,SL-18-019-414.15,414.15,0,0,0,0,no,,-4,2019,5,6,12,0,0.01374,,,,,,,
3a,SL-18-019-414.6,414.6,0,0,0,0,no,,-4,2019,5,6,12,0,0.01176,,,,,,,
4a,SL-18-019-417.6,417.6,0,0,0,0,no,,-4,2019,5,6,12,0,0.01501,,,,,,,
5a,SL-18-019-428.2,428.2,0,0,0,0,no,,-4,2019,5,6,12,0,0.01552,,,,,,,
6a,SL-18-019-441.2,441.2,0,0,0,0,no,,-4,2019,5,6,12,0,0.01385,,,,,,,
7a,SL-18-019-603.7,603.7,0,0,0,0,no,,-4,2019,5,6,12,0,0.01518,,,,,,,
8a,SL-18-019-622.2,622.2,0,0,0,0,no,,-4,2019,5,6,12,0,0.01617,,,,,,,
9a,SL-18-019-625.3,625.3,0,0,0,0,no,,-4,2019,5,6,12,0,0.01596,,,,,,,
10a,SL-18-019-663.1,663.1,0,0,0,0,no,,-4,2019,5,6,12,0,0.01579,,,,,,,
11a,SL-18-019-668.9,668.9,0,0,0,0,no,,-4,2019,5,6,12,0,0.01581,,,,,,,
12a,SL-18-019-680.5,680.5,0,0,0,0,no,,-4,2019,5,6,12,0,0.01337,,,,,,,
13a,SL-18-019-685.8,685.8,0,0,0,0,no,,-4,2019,5,6,12,0,0.01397,,,,,,,
14a,SL-18-019-690.5,690.5,0,0,0,0,no,,-4,2019,5,6,12,0,0.0131,,,,,,,
15a,SL-18-019-708.8,708.8,0,0,0,0,no,,-4,2019,5,6,12,0,0.01497,,,,,,,
16a,SL-18-019-710.75,710.75,0,0,0,0,no,,-4,2019,5,6,12,0,0.01427,,,,,,,
17a,SL-18-019-719.45,719.45,0,0,0,0,no,,-4,2019,5,6,12,0,0.01498,,,,,,,
18a,SL-18-019-734.2,734.2,0,0,0,0,no,,-4,2019,5,6,12,0,0.01661,,,,,,,
19a,SL-18-019-736.4,736.4,0,0,0,0,no,,-4,2019,5,6,12,0,0.01329,,,,,,,
20a,SL-18-019-746.4,746.4,0,0,0,0,no,,-4,2019,5,6,12,0,0.01389,,,,,,,
21a,SL-18-019-799.9,799.9,0,0,0,0,no,,-4,2019,5,6,12,0,0.01489,,,,,,,
